,Item,ICC,PVal,CI95
28,emotion_worries-anxiety,0.670,0.000,[0.44 0.84]
12,cognition_planning-and-organization,0.625,0.000,[0.38 0.82]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.614,0.000,[0.36 0.81]
8,behavior_self-control,0.593,0.000,[0.34 0.8 ]
2,behavior_assertiveness,0.584,0.000,[0.33 0.79]
24,emotion_emotional-regulation-and-reactivity,0.570,0.000,[0.31 0.78]
10,cognition_attention-concentration,0.521,0.000,[0.25 0.75]
44,other-special-issues_trauma-history,0.503,0.000,[0.23 0.74]
19,communication_speech-quantity,0.500,0.000,[0.23 0.74]
36,other-special-issues_bullying,0.500,0.000,[0.23 0.74]
37,other-special-issues_perception-of-reality,0.485,0.000,[0.21 0.73]
5,behavior_obsessive-thoughts,0.449,0.001,[0.17 0.71]
27,emotion_stress-management,0.433,0.001,[0.15 0.7 ]
26,emotion_irritability,0.390,0.003,[0.11 0.67]
1,behavior_anger-management,0.389,0.003,[0.11 0.67]
3,behavior_compliance,0.382,0.003,[0.1  0.66]
15,cognition_thinking-speed,0.375,0.004,[0.1  0.66]
16,communication_expressive-language,0.356,0.006,[0.08 0.64]
21,daily-routines_screen-time,0.347,0.007,[0.07 0.63]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.339,0.008,[0.06 0.63]
22,daily-routines_transitions,0.338,0.008,[0.06 0.63]
25,emotion_empathy,0.323,0.011,[0.05 0.62]
41,other-special-issues_sleep,0.321,0.011,[0.04 0.61]
9,cognition_abstract-thinking,0.319,0.011,[0.04 0.61]
14,cognition_task-completion,0.318,0.012,[0.04 0.61]
48,personality_perseverance,0.256,0.033,[-0.01  0.56]
13,cognition_self-image,0.244,0.039,[-0.03  0.55]
4,behavior_habits-routines,0.242,0.040,[-0.03  0.55]
23,emotion_attachment,0.223,0.053,[-0.04  0.53]
45,personality_creativity,0.216,0.059,[-0.05  0.53]
53,social-function_social-engagement,0.183,0.090,[-0.08  0.5 ]
51,social-function_social-communication,0.180,0.094,[-0.08  0.5 ]
55,somatic-and-sensory-functions_eating,0.175,0.099,[-0.08  0.49]
50,personality_self-confidence,0.171,0.104,[-0.09  0.49]
52,social-function_social-cooperation,0.169,0.107,[-0.09  0.49]
11,cognition_memory-recall,0.161,0.118,[-0.09  0.48]
47,personality_integrity-and-honesty,0.155,0.126,[-0.1   0.47]
49,personality_responsibility-for-self-and-others,0.144,0.142,[-0.11  0.46]
18,communication_speech-quality,0.130,0.166,[-0.12  0.45]
7,behavior_risk-taking,0.126,0.172,[-0.12  0.45]
46,personality_future-outlook,0.105,0.213,[-0.14  0.43]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.085,0.254,[-0.15  0.41]
20,daily-routines_morning-routine,0.067,0.297,[-0.17  0.39]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.054,0.330,[-0.18  0.38]
57,somatic-and-sensory-functions_sexual-identity-behavior,0.007,0.459,[-0.21  0.33]
17,communication_receptive-language,0.007,0.461,[-0.21  0.32]
58,toileting,0.000,0.481,[-0.21  0.32]
39,other-special-issues_physically-or-emotionally-harms-others,0.000,0.481,[-0.21  0.32]
38,other-special-issues_physically-harms-self,-0.000,0.481,[-0.21  0.32]
56,somatic-and-sensory-functions_sensory-reactivity,-0.008,0.504,[-0.22  0.31]
40,other-special-issues_self-care-hygiene,-0.019,0.536,[-0.23  0.3 ]
43,other-special-issues_tics-and-other-atypical-movements,-0.019,0.536,[-0.23  0.3 ]
0,behavior_activity-level,-0.038,0.594,[-0.24  0.27]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,-0.099,0.761,[-0.28  0.2 ]
6,behavior_play,-0.233,0.970,[-0.36  0.01]
54,social-function_tolerance,-0.282,0.992,[-0.39 -0.07]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-0.396,1.000,[-0.45 -0.27]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-0.443,1.000,[-0.47 -0.37]
42,other-special-issues_substance-use,,,[nan nan]
