,Item,ICC,PVal,CI95
12,cognition_planning-and-organization,0.844,0.000,[0.67 0.93]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.828,0.000,[0.64 0.93]
28,emotion_worries-anxiety,0.815,0.000,[0.61 0.92]
8,behavior_self-control,0.806,0.000,[0.6  0.92]
2,behavior_assertiveness,0.814,0.000,[0.61 0.92]
10,cognition_attention-concentration,0.759,0.000,[0.49 0.9 ]
24,emotion_emotional-regulation-and-reactivity,0.799,0.000,[0.58 0.91]
19,communication_speech-quantity,0.752,0.000,[0.49 0.89]
5,behavior_obsessive-thoughts,0.772,0.000,[0.52 0.9 ]
44,other-special-issues_trauma-history,0.754,0.000,[0.49 0.89]
36,other-special-issues_bullying,0.750,0.000,[0.48 0.89]
21,daily-routines_screen-time,0.738,0.000,[0.45 0.89]
37,other-special-issues_perception-of-reality,0.738,0.000,[0.45 0.89]
3,behavior_compliance,0.660,0.001,[0.31 0.85]
27,emotion_stress-management,0.661,0.002,[0.3  0.85]
26,emotion_irritability,0.667,0.002,[0.3  0.86]
1,behavior_anger-management,0.655,0.003,[0.26 0.85]
9,cognition_abstract-thinking,0.582,0.005,[0.17 0.82]
25,emotion_empathy,0.627,0.005,[0.22 0.84]
15,cognition_thinking-speed,0.630,0.005,[0.21 0.84]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.604,0.006,[0.19 0.83]
14,cognition_task-completion,0.590,0.008,[0.16 0.82]
16,communication_expressive-language,0.588,0.009,[0.14 0.82]
41,other-special-issues_sleep,0.587,0.010,[0.14 0.82]
7,behavior_risk-taking,0.464,0.022,[-0.01  0.76]
48,personality_perseverance,0.498,0.027,[-0.    0.78]
4,behavior_habits-routines,0.504,0.027,[-0.    0.78]
22,daily-routines_transitions,0.492,0.032,[-0.03  0.78]
18,communication_speech-quality,0.464,0.032,[-0.04  0.76]
13,cognition_self-image,0.493,0.039,[-0.08  0.78]
45,personality_creativity,0.447,0.046,[-0.09  0.76]
23,emotion_attachment,0.466,0.049,[-0.11  0.77]
55,somatic-and-sensory-functions_eating,0.433,0.051,[-0.11  0.75]
53,social-function_social-engagement,0.394,0.084,[-0.22  0.74]
11,cognition_memory-recall,0.394,0.084,[-0.22  0.74]
47,personality_integrity-and-honesty,0.367,0.103,[-0.27  0.72]
50,personality_self-confidence,0.375,0.111,[-0.33  0.73]
51,social-function_social-communication,0.373,0.115,[-0.35  0.74]
52,social-function_social-cooperation,0.332,0.125,[-0.31  0.7 ]
49,personality_responsibility-for-self-and-others,0.335,0.129,[-0.34  0.71]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.266,0.147,[-0.28  0.65]
46,personality_future-outlook,0.257,0.223,[-0.64  0.69]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.221,0.233,[-0.51  0.65]
17,communication_receptive-language,0.202,0.243,[-0.49  0.63]
0,behavior_activity-level,0.163,0.315,[-0.8   0.65]
56,somatic-and-sensory-functions_sensory-reactivity,0.066,0.406,[-0.76  0.58]
57,somatic-and-sensory-functions_sexual-identity-behavior,0.042,0.439,[-0.98  0.59]
40,other-special-issues_self-care-hygiene,0.000,0.482,[-0.99  0.56]
39,other-special-issues_physically-or-emotionally-harms-others,0.000,0.482,[-1.11  0.57]
43,other-special-issues_tics-and-other-atypical-movements,0.000,0.482,[-0.99  0.56]
58,toileting,0.000,0.482,[-1.11  0.57]
38,other-special-issues_physically-harms-self,-0.000,0.482,[-1.11  0.57]
20,daily-routines_morning-routine,-0.005,0.487,[-1.09  0.57]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,-0.036,0.533,[-0.62  0.46]
6,behavior_play,-0.864,0.936,[-2.82  0.19]
54,social-function_tolerance,-1.166,0.996,[-2.99  0.06]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-6.958,1.000,[-25.95  -1.86]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-15.209,1.000,[-267.19   -3.8 ]
42,other-special-issues_substance-use,,,[nan nan]
