,Unnamed: 0,Item,ICC,PVal,CI95
0,12.0,cognition_planning-and-organization,0.844,0.0,[0.67 0.93]
1,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.828,0.0,[0.64 0.93]
2,28.0,emotion_worries-anxiety,0.815,0.0,[0.61 0.92]
3,8.0,behavior_self-control,0.806,0.0,[0.6  0.92]
4,2.0,behavior_assertiveness,0.814,0.0,[0.61 0.92]
5,10.0,cognition_attention-concentration,0.759,0.0,[0.49 0.9 ]
6,24.0,emotion_emotional-regulation-and-reactivity,0.799,0.0,[0.58 0.91]
7,19.0,communication_speech-quantity,0.752,0.0,[0.49 0.89]
8,5.0,behavior_obsessive-thoughts,0.772,0.0,[0.52 0.9 ]
9,44.0,other-special-issues_trauma-history,0.754,0.0,[0.49 0.89]
10,36.0,other-special-issues_bullying,0.75,0.0,[0.48 0.89]
11,21.0,daily-routines_screen-time,0.738,0.0,[0.45 0.89]
12,37.0,other-special-issues_perception-of-reality,0.738,0.0,[0.45 0.89]
13,3.0,behavior_compliance,0.66,0.001,[0.31 0.85]
14,27.0,emotion_stress-management,0.661,0.002,[0.3  0.85]
15,26.0,emotion_irritability,0.667,0.002,[0.3  0.86]
16,1.0,behavior_anger-management,0.655,0.003,[0.26 0.85]
17,9.0,cognition_abstract-thinking,0.582,0.005,[0.17 0.82]
18,25.0,emotion_empathy,0.627,0.005,[0.22 0.84]
19,15.0,cognition_thinking-speed,0.63,0.005,[0.21 0.84]
20,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.604,0.006,[0.19 0.83]
21,14.0,cognition_task-completion,0.59,0.008,[0.16 0.82]
22,16.0,communication_expressive-language,0.588,0.009,[0.14 0.82]
23,41.0,other-special-issues_sleep,0.587,0.01,[0.14 0.82]
24,7.0,behavior_risk-taking,0.464,0.022,[-0.01  0.76]
25,48.0,personality_perseverance,0.498,0.027,[-0.    0.78]
26,4.0,behavior_habits-routines,0.504,0.027,[-0.    0.78]
27,22.0,daily-routines_transitions,0.492,0.032,[-0.03  0.78]
28,18.0,communication_speech-quality,0.464,0.032,[-0.04  0.76]
29,13.0,cognition_self-image,0.493,0.039,[-0.08  0.78]
30,45.0,personality_creativity,0.447,0.046,[-0.09  0.76]
31,23.0,emotion_attachment,0.466,0.049,[-0.11  0.77]
32,55.0,somatic-and-sensory-functions_eating,0.433,0.051,[-0.11  0.75]
33,53.0,social-function_social-engagement,0.394,0.084,[-0.22  0.74]
34,11.0,cognition_memory-recall,0.394,0.084,[-0.22  0.74]
35,47.0,personality_integrity-and-honesty,0.367,0.103,[-0.27  0.72]
36,50.0,personality_self-confidence,0.375,0.111,[-0.33  0.73]
37,51.0,social-function_social-communication,0.373,0.115,[-0.35  0.74]
38,52.0,social-function_social-cooperation,0.332,0.125,[-0.31  0.7 ]
39,49.0,personality_responsibility-for-self-and-others,0.335,0.129,[-0.34  0.71]
40,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.266,0.147,[-0.28  0.65]
41,46.0,personality_future-outlook,0.257,0.223,[-0.64  0.69]
42,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.221,0.233,[-0.51  0.65]
43,17.0,communication_receptive-language,0.202,0.243,[-0.49  0.63]
44,0.0,behavior_activity-level,0.163,0.315,[-0.8   0.65]
45,56.0,somatic-and-sensory-functions_sensory-reactivity,0.066,0.406,[-0.76  0.58]
46,57.0,somatic-and-sensory-functions_sexual-identity-behavior,0.042,0.439,[-0.98  0.59]
47,40.0,other-special-issues_self-care-hygiene,0.0,0.482,[-0.99  0.56]
48,39.0,other-special-issues_physically-or-emotionally-harms-others,0.0,0.482,[-1.11  0.57]
49,43.0,other-special-issues_tics-and-other-atypical-movements,0.0,0.482,[-0.99  0.56]
50,58.0,toileting,0.0,0.482,[-1.11  0.57]
51,38.0,other-special-issues_physically-harms-self,-0.0,0.482,[-1.11  0.57]
52,20.0,daily-routines_morning-routine,-0.005,0.487,[-1.09  0.57]
53,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,-0.036,0.533,[-0.62  0.46]
54,6.0,behavior_play,-0.864,0.936,[-2.82  0.19]
55,54.0,social-function_tolerance,-1.166,0.996,[-2.99  0.06]
56,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-6.958,1.0,[-25.95  -1.86]
57,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-15.209,1.0,[-267.19   -3.8 ]
58,42.0,other-special-issues_substance-use,,,[nan nan]
mean,,,0.4322068965517241,,
