,Unnamed: 0,Item,ICC,PVal,CI95
0,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.967,0.0,[0.87 0.99]
1,12.0,cognition_planning-and-organization,0.862,0.003,[0.47 0.97]
2,10.0,cognition_attention-concentration,0.757,0.014,[0.19 0.95]
3,20.0,daily-routines_morning-routine,0.722,0.025,[0.05 0.95]
4,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.728,0.031,[-0.02  0.95]
5,11.0,cognition_memory-recall,0.694,0.049,[-0.25  0.94]
6,28.0,emotion_worries-anxiety,0.614,0.051,[-0.15  0.92]
7,21.0,daily-routines_screen-time,0.687,0.054,[-0.31  0.94]
8,3.0,behavior_compliance,0.549,0.073,[-0.25  0.91]
9,49.0,personality_responsibility-for-self-and-others,0.612,0.076,[-0.36  0.93]
10,48.0,personality_perseverance,0.532,0.094,[-0.35  0.91]
11,52.0,social-function_social-cooperation,0.533,0.101,[-0.41  0.91]
12,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.508,0.141,[-0.77  0.91]
13,8.0,behavior_self-control,0.53,0.15,[-1.22  0.92]
14,22.0,daily-routines_transitions,0.425,0.17,[-0.68  0.88]
15,4.0,behavior_habits-routines,0.27,0.187,[-0.32  0.8 ]
16,27.0,emotion_stress-management,0.341,0.215,[-0.72  0.86]
17,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.367,0.219,[-0.95  0.87]
18,14.0,cognition_task-completion,0.405,0.221,[-1.47  0.89]
19,1.0,behavior_anger-management,0.386,0.234,[-1.53  0.89]
20,19.0,communication_speech-quantity,0.327,0.265,[-1.5   0.87]
21,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.261,0.266,[-0.76  0.84]
22,9.0,cognition_abstract-thinking,0.307,0.277,[-1.49  0.87]
23,16.0,communication_expressive-language,0.104,0.364,[-0.56  0.75]
24,23.0,emotion_attachment,0.11,0.391,[-1.24  0.81]
25,2.0,behavior_assertiveness,0.082,0.415,[-1.53  0.81]
26,25.0,emotion_empathy,0.079,0.428,[-3.7   0.84]
27,55.0,somatic-and-sensory-functions_eating,0.0,0.468,[-2.73  0.81]
28,56.0,somatic-and-sensory-functions_sensory-reactivity,0.0,0.468,[-1.84  0.79]
29,57.0,somatic-and-sensory-functions_sexual-identity-behavior,0.0,0.468,[-2.73  0.81]
30,40.0,other-special-issues_self-care-hygiene,0.0,0.468,[-2.73  0.81]
31,41.0,other-special-issues_sleep,0.0,0.468,[-2.73  0.81]
32,44.0,other-special-issues_trauma-history,-0.0,0.468,[-2.73  0.81]
33,17.0,communication_receptive-language,-0.009,0.473,[-3.25  0.82]
34,26.0,emotion_irritability,-0.07,0.503,[-4.01  0.81]
35,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-0.133,0.534,[-3.88  0.8 ]
36,46.0,personality_future-outlook,-0.114,0.536,[-2.05  0.77]
37,6.0,behavior_play,-0.142,0.553,[-2.06  0.76]
38,15.0,cognition_thinking-speed,-0.261,0.581,[-6.15  0.79]
39,53.0,social-function_social-engagement,-0.375,0.621,[-7.29  0.77]
40,0.0,behavior_activity-level,-0.31,0.658,[-1.93  0.69]
41,24.0,emotion_emotional-regulation-and-reactivity,-0.506,0.71,[-3.3   0.69]
42,50.0,personality_self-confidence,-0.789,0.733,[-10.83   0.7 ]
43,5.0,behavior_obsessive-thoughts,-0.928,0.771,[-9.56  0.67]
44,13.0,cognition_self-image,-0.931,0.794,[-6.54  0.64]
45,7.0,behavior_risk-taking,-0.705,0.811,[-2.9  0.6]
46,45.0,personality_creativity,-1.632,0.828,[280.45   0.62]
47,18.0,communication_speech-quality,-1.023,0.841,[-5.09  0.59]
48,51.0,social-function_social-communication,-1.657,0.864,[-19.97   0.57]
49,54.0,social-function_tolerance,-2.898,0.945,[-38.98   0.38]
50,47.0,personality_integrity-and-honesty,-2.597,0.985,[-5.72  0.32]
51,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-13.181,0.999,[-46.64  -0.38]
52,36.0,other-special-issues_bullying,,,[nan nan]
53,37.0,other-special-issues_perception-of-reality,,,[nan nan]
54,38.0,other-special-issues_physically-harms-self,,,[nan nan]
55,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
56,42.0,other-special-issues_substance-use,,,[nan nan]
57,43.0,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
58,58.0,toileting,,,[nan nan]
mean,,,0.24536538461538462,,
