,Item,ICC,PVal,CI95
3,behavior_compliance,0.898,0.000,[0.81 0.95]
47,personality_integrity-and-honesty,0.783,0.000,[0.59 0.9 ]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.789,0.000,[0.6 0.9]
10,cognition_attention-concentration,0.760,0.000,[0.55 0.89]
19,communication_speech-quantity,0.722,0.000,[0.47 0.87]
2,behavior_assertiveness,0.702,0.000,[0.44 0.86]
25,emotion_empathy,0.714,0.000,[0.45 0.87]
28,emotion_worries-anxiety,0.550,0.000,[0.17 0.79]
50,personality_self-confidence,0.666,0.000,[0.38 0.84]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.656,0.000,[0.36 0.84]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.680,0.000,[0.4  0.85]
9,cognition_abstract-thinking,0.656,0.000,[0.36 0.84]
53,social-function_social-engagement,0.649,0.001,[0.32 0.84]
11,cognition_memory-recall,0.610,0.001,[0.28 0.82]
27,emotion_stress-management,0.585,0.002,[0.24 0.8 ]
15,cognition_thinking-speed,0.588,0.003,[0.23 0.81]
23,emotion_attachment,0.595,0.003,[0.23 0.81]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.564,0.005,[0.19 0.8 ]
18,communication_speech-quality,0.493,0.013,[0.08 0.76]
21,daily-routines_screen-time,0.511,0.014,[0.08 0.77]
55,somatic-and-sensory-functions_eating,0.484,0.025,[0.   0.76]
12,cognition_planning-and-organization,0.402,0.029,[-0.03  0.7 ]
6,behavior_play,0.446,0.035,[-0.04  0.74]
7,behavior_risk-taking,0.364,0.039,[-0.06  0.68]
8,behavior_self-control,0.394,0.069,[-0.17  0.72]
16,communication_expressive-language,0.356,0.091,[-0.22  0.7 ]
52,social-function_social-cooperation,0.355,0.097,[-0.25  0.71]
26,emotion_irritability,0.341,0.108,[-0.28  0.7 ]
48,personality_perseverance,0.306,0.113,[-0.24  0.67]
0,behavior_activity-level,0.311,0.114,[-0.25  0.67]
14,cognition_task-completion,0.263,0.139,[-0.26  0.64]
51,social-function_social-communication,0.182,0.269,[-0.59  0.63]
17,communication_receptive-language,0.122,0.340,[-0.74  0.6 ]
46,personality_future-outlook,0.102,0.345,[-0.57  0.56]
24,emotion_emotional-regulation-and-reactivity,0.112,0.347,[-0.69  0.59]
49,personality_responsibility-for-self-and-others,0.053,0.408,[-0.65  0.54]
20,daily-routines_morning-routine,0.045,0.424,[-0.8   0.56]
54,social-function_tolerance,0.041,0.429,[-0.82  0.56]
4,behavior_habits-routines,0.023,0.444,[-0.6  0.5]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.000,0.476,[-0.41  0.42]
45,personality_creativity,0.000,0.476,[-0.55  0.47]
36,other-special-issues_bullying,-0.000,0.476,[-0.78  0.52]
38,other-special-issues_physically-harms-self,0.000,0.476,[-0.92  0.54]
41,other-special-issues_sleep,-0.000,0.476,[-0.85  0.53]
42,other-special-issues_substance-use,0.000,0.476,[-0.92  0.54]
44,other-special-issues_trauma-history,0.000,0.476,[-0.76  0.52]
57,somatic-and-sensory-functions_sexual-identity-behavior,-0.030,0.509,[-1.    0.53]
5,behavior_obsessive-thoughts,-0.036,0.517,[-0.93  0.52]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-0.070,0.552,[-1.02  0.5 ]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-0.074,0.557,[-1.02  0.5 ]
13,cognition_self-image,-0.170,0.665,[-1.02  0.43]
1,behavior_anger-management,-0.588,0.874,[-2.16  0.29]
22,daily-routines_transitions,,,[nan nan]
37,other-special-issues_perception-of-reality,,,[nan nan]
39,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
40,other-special-issues_self-care-hygiene,,,[nan nan]
43,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
56,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
58,toileting,,,[nan nan]
