,Item,ICC,PVal,CI95
3,behavior_compliance,0.907,0.000,[0.82 0.96]
50,personality_self-confidence,0.753,0.000,[0.54 0.89]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.765,0.000,[0.55 0.89]
47,personality_integrity-and-honesty,0.716,0.000,[0.47 0.87]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.724,0.000,[0.48 0.87]
2,behavior_assertiveness,0.716,0.000,[0.46 0.87]
19,communication_speech-quantity,0.687,0.000,[0.4  0.86]
25,emotion_empathy,0.676,0.000,[0.37 0.85]
9,cognition_abstract-thinking,0.657,0.000,[0.35 0.84]
28,emotion_worries-anxiety,0.583,0.001,[0.24 0.8 ]
53,social-function_social-engagement,0.653,0.001,[0.33 0.84]
8,behavior_self-control,0.588,0.004,[0.2  0.81]
10,cognition_attention-concentration,0.554,0.006,[0.16 0.79]
7,behavior_risk-taking,0.446,0.013,[0.04 0.73]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.517,0.013,[0.08 0.78]
23,emotion_attachment,0.526,0.014,[0.08 0.78]
11,cognition_memory-recall,0.485,0.022,[0.02 0.76]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.424,0.029,[-0.02  0.72]
21,daily-routines_screen-time,0.440,0.036,[-0.04  0.74]
27,emotion_stress-management,0.391,0.059,[-0.13  0.71]
12,cognition_planning-and-organization,0.339,0.066,[-0.12  0.67]
18,communication_speech-quality,0.369,0.066,[-0.14  0.7 ]
48,personality_perseverance,0.344,0.079,[-0.17  0.68]
6,behavior_play,0.360,0.087,[-0.21  0.7 ]
26,emotion_irritability,0.328,0.122,[-0.32  0.7 ]
15,cognition_thinking-speed,0.308,0.130,[-0.31  0.68]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.307,0.132,[-0.32  0.68]
0,behavior_activity-level,0.284,0.134,[-0.28  0.66]
14,cognition_task-completion,0.251,0.154,[-0.29  0.63]
16,communication_expressive-language,0.219,0.226,[-0.51  0.64]
5,behavior_obsessive-thoughts,0.171,0.271,[-0.54  0.61]
52,social-function_social-cooperation,0.170,0.281,[-0.61  0.62]
49,personality_responsibility-for-self-and-others,0.123,0.320,[-0.55  0.58]
4,behavior_habits-routines,0.074,0.376,[-0.56  0.54]
54,social-function_tolerance,0.056,0.412,[-0.78  0.56]
57,somatic-and-sensory-functions_sexual-identity-behavior,0.053,0.418,[-0.87  0.57]
46,personality_future-outlook,0.047,0.422,[-0.82  0.56]
20,daily-routines_morning-routine,0.046,0.424,[-0.81  0.56]
17,communication_receptive-language,0.020,0.455,[-0.96  0.56]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.000,0.476,[-0.84  0.53]
45,personality_creativity,0.000,0.476,[-0.59  0.48]
44,other-special-issues_trauma-history,0.000,0.476,[-0.76  0.52]
42,other-special-issues_substance-use,0.000,0.476,[-0.92  0.54]
41,other-special-issues_sleep,0.000,0.476,[-0.92  0.54]
36,other-special-issues_bullying,0.000,0.476,[-0.84  0.53]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,-0.000,0.476,[-0.48  0.44]
55,somatic-and-sensory-functions_eating,-0.068,0.547,[-1.08  0.51]
51,social-function_social-communication,-0.296,0.739,[-1.52  0.41]
13,cognition_self-image,-0.553,0.879,[-1.88  0.27]
1,behavior_anger-management,-0.750,0.914,[-2.54  0.22]
24,emotion_emotional-regulation-and-reactivity,-0.714,0.917,[-2.29  0.21]
22,daily-routines_transitions,,,[nan nan]
37,other-special-issues_perception-of-reality,,,[nan nan]
38,other-special-issues_physically-harms-self,,,[nan nan]
39,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
40,other-special-issues_self-care-hygiene,,,[nan nan]
43,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
56,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
58,toileting,,,[nan nan]
