,Unnamed: 0,Item,ICC,PVal,CI95
0,10.0,cognition_attention-concentration,0.814,0.0,[0.65 0.91]
1,15.0,cognition_thinking-speed,0.755,0.0,[0.54 0.89]
2,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.677,0.0,[0.4  0.85]
3,28.0,emotion_worries-anxiety,0.474,0.0,[0.08 0.74]
4,19.0,communication_speech-quantity,0.611,0.002,[0.26 0.82]
5,18.0,communication_speech-quality,0.594,0.002,[0.24 0.81]
6,11.0,cognition_memory-recall,0.546,0.003,[0.18 0.78]
7,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.567,0.005,[0.19 0.8 ]
8,47.0,personality_integrity-and-honesty,0.548,0.006,[0.16 0.79]
9,53.0,social-function_social-engagement,0.56,0.008,[0.15 0.8 ]
10,2.0,behavior_assertiveness,0.514,0.009,[0.11 0.77]
11,55.0,somatic-and-sensory-functions_eating,0.523,0.014,[0.08 0.78]
12,50.0,personality_self-confidence,0.49,0.015,[0.06 0.76]
13,24.0,emotion_emotional-regulation-and-reactivity,0.496,0.018,[0.05 0.77]
14,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.479,0.023,[0.02 0.76]
15,12.0,cognition_planning-and-organization,0.416,0.025,[-0.01  0.71]
16,51.0,social-function_social-communication,0.473,0.03,[-0.03  0.76]
17,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.455,0.031,[-0.02  0.75]
18,23.0,emotion_attachment,0.391,0.046,[-0.08  0.71]
19,25.0,emotion_empathy,0.399,0.05,[-0.09  0.71]
20,27.0,emotion_stress-management,0.396,0.059,[-0.13  0.72]
21,9.0,cognition_abstract-thinking,0.341,0.071,[-0.14  0.68]
22,52.0,social-function_social-cooperation,0.386,0.076,[-0.2   0.72]
23,16.0,communication_expressive-language,0.348,0.09,[-0.21  0.69]
24,26.0,emotion_irritability,0.334,0.111,[-0.28  0.69]
25,6.0,behavior_play,0.308,0.125,[-0.29  0.68]
26,48.0,personality_perseverance,0.237,0.191,[-0.4   0.64]
27,3.0,behavior_compliance,0.219,0.225,[-0.51  0.64]
28,13.0,cognition_self-image,0.179,0.231,[-0.37  0.59]
29,17.0,communication_receptive-language,0.196,0.251,[-0.55  0.63]
30,14.0,cognition_task-completion,0.141,0.291,[-0.48  0.58]
31,46.0,personality_future-outlook,0.083,0.367,[-0.58  0.55]
32,20.0,daily-routines_morning-routine,0.038,0.432,[-0.81  0.55]
33,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.011,0.462,[-0.71  0.51]
34,45.0,personality_creativity,0.0,0.476,[-0.66  0.49]
35,21.0,daily-routines_screen-time,0.0,0.476,[-0.84  0.53]
36,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,-0.0,0.476,[-0.41  0.42]
37,36.0,other-special-issues_bullying,0.0,0.476,[-0.76  0.52]
38,38.0,other-special-issues_physically-harms-self,0.0,0.476,[-0.92  0.54]
39,41.0,other-special-issues_sleep,0.0,0.476,[-0.84  0.53]
40,44.0,other-special-issues_trauma-history,0.0,0.476,[-0.76  0.52]
41,0.0,behavior_activity-level,-0.0,0.476,[-1.    0.55]
42,54.0,social-function_tolerance,-0.0,0.476,[-0.92  0.54]
43,7.0,behavior_risk-taking,0.0,0.504,[-0.68  0.48]
44,5.0,behavior_obsessive-thoughts,0.0,0.535,[-0.96  0.51]
45,1.0,behavior_anger-management,0.0,0.549,[-0.9   0.49]
46,4.0,behavior_habits-routines,0.0,0.578,[-0.71  0.44]
47,57.0,somatic-and-sensory-functions_sexual-identity-behavior,0.0,0.578,[-1.1  0.5]
48,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.0,0.58,[-1.1   0.49]
49,49.0,personality_responsibility-for-self-and-others,0.0,0.582,[-0.93  0.47]
50,8.0,behavior_self-control,0.0,0.828,[-1.62  0.33]
51,22.0,daily-routines_transitions,,,[nan nan]
52,37.0,other-special-issues_perception-of-reality,,,[nan nan]
53,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
54,40.0,other-special-issues_self-care-hygiene,,,[nan nan]
55,42.0,other-special-issues_substance-use,,,[nan nan]
56,43.0,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
57,56.0,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
58,58.0,toileting,,,[nan nan]
mean,,,0.27449019607843134,,
