,Unnamed: 0,Item,ICC,PVal,CI95
0,47.0,personality_integrity-and-honesty,0.879,0.0,[0.77 0.94]
1,3.0,behavior_compliance,0.836,0.0,[0.69 0.92]
2,2.0,behavior_assertiveness,0.723,0.0,[0.47 0.87]
3,9.0,cognition_abstract-thinking,0.703,0.0,[0.44 0.86]
4,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.641,0.0,[0.33 0.82]
5,28.0,emotion_worries-anxiety,0.595,0.001,[0.24 0.8 ]
6,10.0,cognition_attention-concentration,0.666,0.001,[0.35 0.84]
7,50.0,personality_self-confidence,0.588,0.001,[0.24 0.8 ]
8,25.0,emotion_empathy,0.639,0.001,[0.3  0.83]
9,15.0,cognition_thinking-speed,0.57,0.002,[0.21 0.79]
10,8.0,behavior_self-control,0.607,0.003,[0.24 0.81]
11,19.0,communication_speech-quantity,0.559,0.008,[0.15 0.79]
12,11.0,cognition_memory-recall,0.495,0.009,[0.09 0.75]
13,12.0,cognition_planning-and-organization,0.464,0.009,[0.05 0.73]
14,51.0,social-function_social-communication,0.528,0.014,[0.08 0.77]
15,27.0,emotion_stress-management,0.486,0.015,[0.06 0.75]
16,53.0,social-function_social-engagement,0.52,0.016,[0.06 0.77]
17,24.0,emotion_emotional-regulation-and-reactivity,0.51,0.018,[0.05 0.77]
18,26.0,emotion_irritability,0.448,0.033,[-0.03  0.73]
19,52.0,social-function_social-cooperation,0.426,0.049,[-0.11  0.72]
20,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.308,0.067,[-0.13  0.63]
21,0.0,behavior_activity-level,0.34,0.087,[-0.19  0.67]
22,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.36,0.091,[-0.23  0.69]
23,23.0,emotion_attachment,0.338,0.105,[-0.26  0.68]
24,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.307,0.118,[-0.26  0.66]
25,16.0,communication_expressive-language,0.314,0.119,[-0.27  0.66]
26,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.282,0.138,[-0.29  0.64]
27,14.0,cognition_task-completion,0.198,0.21,[-0.35  0.58]
28,21.0,daily-routines_screen-time,0.23,0.219,[-0.52  0.64]
29,7.0,behavior_risk-taking,0.128,0.243,[-0.25  0.48]
30,18.0,communication_speech-quality,0.16,0.269,[-0.45  0.57]
31,46.0,personality_future-outlook,0.172,0.284,[-0.62  0.61]
32,17.0,communication_receptive-language,0.127,0.336,[-0.71  0.58]
33,48.0,personality_perseverance,0.101,0.341,[-0.49  0.53]
34,49.0,personality_responsibility-for-self-and-others,0.083,0.366,[-0.52  0.52]
35,4.0,behavior_habits-routines,0.073,0.371,[-0.45  0.49]
36,54.0,social-function_tolerance,0.039,0.438,[-0.82  0.53]
37,13.0,cognition_self-image,0.012,0.47,[-0.81  0.51]
38,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.0,0.485,[-0.36  0.38]
39,36.0,other-special-issues_bullying,0.0,0.485,[-0.8  0.5]
40,44.0,other-special-issues_trauma-history,0.0,0.485,[-0.79  0.5 ]
41,20.0,daily-routines_morning-routine,-0.0,0.485,[-0.82  0.5 ]
42,45.0,personality_creativity,-0.0,0.485,[-0.46  0.42]
43,55.0,somatic-and-sensory-functions_eating,0.0,0.554,[-1.08  0.49]
44,41.0,other-special-issues_sleep,0.0,0.578,[-1.11  0.48]
45,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.0,0.587,[-0.98  0.46]
46,6.0,behavior_play,0.0,0.661,[-1.36  0.44]
47,5.0,behavior_obsessive-thoughts,0.0,0.71,[-1.1   0.39]
48,1.0,behavior_anger-management,0.0,0.902,[-2.35  0.23]
49,57.0,somatic-and-sensory-functions_sexual-identity-behavior,0.0,1.0,[  -inf -15.23]
50,22.0,daily-routines_transitions,,,[nan nan]
51,37.0,other-special-issues_perception-of-reality,,,[nan nan]
52,38.0,other-special-issues_physically-harms-self,,,[nan nan]
53,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
54,40.0,other-special-issues_self-care-hygiene,,,[nan nan]
55,42.0,other-special-issues_substance-use,,,[nan nan]
56,43.0,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
57,56.0,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
58,58.0,toileting,,,[nan nan]
mean,,,0.30910000000000004,,
