,Item,ICC,PVal,CI95
55,somatic-and-sensory-functions_eating,0.995,0.000,[0.99 1.  ]
1,behavior_anger-management,0.961,0.000,[0.93 0.98]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.957,0.000,[0.93 0.97]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.939,0.000,[0.9  0.96]
40,other-special-issues_self-care-hygiene,0.916,0.000,[0.86 0.95]
5,behavior_obsessive-thoughts,0.910,0.000,[0.85 0.95]
25,emotion_empathy,0.907,0.000,[0.85 0.94]
12,cognition_planning-and-organization,0.908,0.000,[0.85 0.94]
47,personality_integrity-and-honesty,0.905,0.000,[0.84 0.94]
7,behavior_risk-taking,0.886,0.000,[0.8  0.93]
36,other-special-issues_bullying,0.889,0.000,[0.81 0.93]
43,other-special-issues_tics-and-other-atypical-movements,0.886,0.000,[0.81 0.93]
3,behavior_compliance,0.877,0.000,[0.79 0.93]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.881,0.000,[0.8  0.93]
28,emotion_worries-anxiety,0.879,0.000,[0.8  0.93]
50,personality_self-confidence,0.880,0.000,[0.8  0.93]
49,personality_responsibility-for-self-and-others,0.875,0.000,[0.79 0.92]
10,cognition_attention-concentration,0.865,0.000,[0.78 0.92]
0,behavior_activity-level,0.842,0.000,[0.72 0.91]
14,cognition_task-completion,0.857,0.000,[0.76 0.91]
13,cognition_self-image,0.850,0.000,[0.75 0.91]
19,communication_speech-quantity,0.844,0.000,[0.74 0.91]
26,emotion_irritability,0.838,0.000,[0.73 0.9 ]
8,behavior_self-control,0.819,0.000,[0.69 0.89]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.831,0.000,[0.72 0.9 ]
6,behavior_play,0.827,0.000,[0.71 0.9 ]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.818,0.000,[0.7  0.89]
24,emotion_emotional-regulation-and-reactivity,0.814,0.000,[0.69 0.89]
15,cognition_thinking-speed,0.808,0.000,[0.68 0.88]
44,other-special-issues_trauma-history,0.799,0.000,[0.67 0.88]
46,personality_future-outlook,0.802,0.000,[0.67 0.88]
23,emotion_attachment,0.792,0.000,[0.66 0.87]
16,communication_expressive-language,0.789,0.000,[0.65 0.87]
9,cognition_abstract-thinking,0.766,0.000,[0.61 0.86]
2,behavior_assertiveness,0.768,0.000,[0.62 0.86]
11,cognition_memory-recall,0.764,0.000,[0.61 0.86]
53,social-function_social-engagement,0.757,0.000,[0.6  0.85]
27,emotion_stress-management,0.749,0.000,[0.58 0.85]
22,daily-routines_transitions,0.738,0.000,[0.56 0.84]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.736,0.000,[0.56 0.84]
51,social-function_social-communication,0.720,0.000,[0.53 0.83]
57,somatic-and-sensory-functions_sexual-identity-behavior,0.709,0.000,[0.52 0.82]
21,daily-routines_screen-time,0.689,0.000,[0.49 0.81]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.686,0.000,[0.48 0.81]
52,social-function_social-cooperation,0.678,0.000,[0.47 0.81]
45,personality_creativity,0.664,0.000,[0.45 0.8 ]
48,personality_perseverance,0.655,0.000,[0.42 0.79]
18,communication_speech-quality,0.529,0.002,[0.21 0.72]
4,behavior_habits-routines,0.524,0.002,[0.21 0.71]
39,other-special-issues_physically-or-emotionally-harms-others,0.457,0.010,[0.1  0.67]
56,somatic-and-sensory-functions_sensory-reactivity,0.447,0.010,[0.09 0.66]
17,communication_receptive-language,0.385,0.032,[-0.03  0.63]
37,other-special-issues_perception-of-reality,0.291,0.084,[-0.15  0.57]
20,daily-routines_morning-routine,0.229,0.155,[-0.27  0.53]
54,social-function_tolerance,0.117,0.317,[-0.48  0.47]
58,toileting,0.000,0.500,[-0.66  0.4 ]
38,other-special-issues_physically-harms-self,-0.000,0.500,[-0.66  0.4 ]
41,other-special-issues_sleep,-0.050,0.576,[-0.72  0.36]
42,other-special-issues_substance-use,,,[nan nan]
