,Item,ICC,PVal,CI95
57,somatic-and-sensory-functions_sexual-identity-behavior,0.934,0.000,[0.86 0.97]
12,cognition_planning-and-organization,0.923,0.000,[0.84 0.96]
11,cognition_memory-recall,0.925,0.000,[0.84 0.96]
24,emotion_emotional-regulation-and-reactivity,0.916,0.000,[0.82 0.96]
41,other-special-issues_sleep,0.912,0.000,[0.82 0.96]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.904,0.000,[0.8  0.95]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.902,0.000,[0.79 0.95]
51,social-function_social-communication,0.900,0.000,[0.79 0.95]
53,social-function_social-engagement,0.887,0.000,[0.76 0.95]
16,communication_expressive-language,0.862,0.000,[0.71 0.93]
55,somatic-and-sensory-functions_eating,0.860,0.000,[0.71 0.93]
2,behavior_assertiveness,0.859,0.000,[0.7  0.93]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.831,0.000,[0.64 0.92]
10,cognition_attention-concentration,0.836,0.000,[0.66 0.92]
19,communication_speech-quantity,0.814,0.000,[0.61 0.91]
20,daily-routines_morning-routine,0.812,0.000,[0.6  0.91]
4,behavior_habits-routines,0.779,0.000,[0.54 0.89]
26,emotion_irritability,0.790,0.000,[0.56 0.9 ]
17,communication_receptive-language,0.778,0.000,[0.54 0.89]
48,personality_perseverance,0.755,0.000,[0.48 0.88]
28,emotion_worries-anxiety,0.778,0.000,[0.54 0.89]
15,cognition_thinking-speed,0.742,0.000,[0.46 0.88]
47,personality_integrity-and-honesty,0.749,0.000,[0.48 0.88]
49,personality_responsibility-for-self-and-others,0.753,0.000,[0.48 0.88]
7,behavior_risk-taking,0.717,0.000,[0.4  0.87]
21,daily-routines_screen-time,0.734,0.000,[0.45 0.87]
14,cognition_task-completion,0.725,0.000,[0.43 0.87]
3,behavior_compliance,0.704,0.000,[0.38 0.86]
25,emotion_empathy,0.732,0.000,[0.43 0.87]
27,emotion_stress-management,0.694,0.000,[0.35 0.85]
9,cognition_abstract-thinking,0.721,0.000,[0.42 0.87]
13,cognition_self-image,0.719,0.001,[0.41 0.87]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.685,0.001,[0.35 0.85]
36,other-special-issues_bullying,0.682,0.001,[0.34 0.85]
50,personality_self-confidence,0.670,0.002,[0.3  0.84]
18,communication_speech-quality,0.636,0.004,[0.24 0.83]
52,social-function_social-cooperation,0.637,0.004,[0.24 0.83]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.640,0.004,[0.23 0.83]
23,emotion_attachment,0.592,0.010,[0.13 0.81]
8,behavior_self-control,0.568,0.013,[0.1  0.79]
6,behavior_play,0.524,0.024,[0.01 0.77]
46,personality_future-outlook,0.507,0.025,[0.   0.76]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.451,0.050,[-0.11  0.73]
45,personality_creativity,0.302,0.107,[-0.24  0.64]
0,behavior_activity-level,0.323,0.135,[-0.34  0.67]
1,behavior_anger-management,0.259,0.215,[-0.57  0.65]
38,other-special-issues_physically-harms-self,0.000,0.500,[-1.1   0.52]
42,other-special-issues_substance-use,-0.000,0.500,[-1.1   0.52]
54,social-function_tolerance,-0.000,0.500,[-1.17  0.53]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-0.104,0.601,[-1.39  0.48]
5,behavior_obsessive-thoughts,-0.371,0.817,[-1.71  0.33]
44,other-special-issues_trauma-history,1.000,1.000,[1. 1.]
22,daily-routines_transitions,,,[nan nan]
37,other-special-issues_perception-of-reality,,,[nan nan]
39,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
40,other-special-issues_self-care-hygiene,,,[nan nan]
43,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
56,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
58,toileting,,,[nan nan]
