,Unnamed: 0,Item,ICC,PVal,CI95
0,40.0,other-special-issues_self-care-hygiene,1.0,0.0,[1. 1.]
1,43.0,other-special-issues_tics-and-other-atypical-movements,1.0,0.0,[1. 1.]
2,55.0,somatic-and-sensory-functions_eating,0.988,0.0,[0.98 0.99]
3,1.0,behavior_anger-management,0.902,0.0,[0.85 0.94]
4,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.874,0.0,[0.81 0.92]
5,16.0,communication_expressive-language,0.831,0.0,[0.75 0.89]
6,0.0,behavior_activity-level,0.82,0.0,[0.74 0.88]
7,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.801,0.0,[0.71 0.87]
8,7.0,behavior_risk-taking,0.793,0.0,[0.7  0.86]
9,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.786,0.0,[0.69 0.86]
10,23.0,emotion_attachment,0.771,0.0,[0.67 0.85]
11,3.0,behavior_compliance,0.751,0.0,[0.64 0.83]
12,49.0,personality_responsibility-for-self-and-others,0.746,0.0,[0.63 0.83]
13,50.0,personality_self-confidence,0.742,0.0,[0.63 0.83]
14,12.0,cognition_planning-and-organization,0.734,0.0,[0.62 0.82]
15,25.0,emotion_empathy,0.706,0.0,[0.58 0.8 ]
16,10.0,cognition_attention-concentration,0.698,0.0,[0.57 0.79]
17,19.0,communication_speech-quantity,0.664,0.0,[0.53 0.77]
18,48.0,personality_perseverance,0.646,0.0,[0.5  0.75]
19,28.0,emotion_worries-anxiety,0.628,0.0,[0.48 0.74]
20,46.0,personality_future-outlook,0.614,0.0,[0.46 0.73]
21,26.0,emotion_irritability,0.605,0.0,[0.45 0.72]
22,24.0,emotion_emotional-regulation-and-reactivity,0.599,0.0,[0.44 0.72]
23,13.0,cognition_self-image,0.589,0.0,[0.43 0.71]
24,11.0,cognition_memory-recall,0.57,0.0,[0.41 0.7 ]
25,8.0,behavior_self-control,0.57,0.0,[0.41 0.7 ]
26,27.0,emotion_stress-management,0.567,0.0,[0.4 0.7]
27,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.551,0.0,[0.38 0.68]
28,14.0,cognition_task-completion,0.546,0.0,[0.38 0.68]
29,47.0,personality_integrity-and-honesty,0.542,0.0,[0.37 0.68]
30,17.0,communication_receptive-language,0.522,0.0,[0.35 0.66]
31,53.0,social-function_social-engagement,0.515,0.0,[0.34 0.66]
32,2.0,behavior_assertiveness,0.5,0.0,[0.32 0.64]
33,5.0,behavior_obsessive-thoughts,0.465,0.0,[0.28 0.62]
34,22.0,daily-routines_transitions,0.455,0.0,[0.27 0.61]
35,54.0,social-function_tolerance,0.447,0.0,[0.26 0.6 ]
36,51.0,social-function_social-communication,0.441,0.0,[0.25 0.6 ]
37,9.0,cognition_abstract-thinking,0.432,0.0,[0.24 0.59]
38,15.0,cognition_thinking-speed,0.424,0.0,[0.23 0.58]
39,45.0,personality_creativity,0.411,0.0,[0.22 0.57]
40,44.0,other-special-issues_trauma-history,0.397,0.0,[0.2  0.56]
41,6.0,behavior_play,0.395,0.0,[0.2  0.56]
42,52.0,social-function_social-cooperation,0.38,0.0,[0.18 0.55]
43,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.379,0.0,[0.18 0.55]
44,21.0,daily-routines_screen-time,0.344,0.001,[0.14 0.52]
45,18.0,communication_speech-quality,0.302,0.003,[0.09 0.48]
46,4.0,behavior_habits-routines,0.264,0.007,[0.05 0.45]
47,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.183,0.047,[-0.03  0.38]
48,37.0,other-special-issues_perception-of-reality,0.0,0.5,[-0.21  0.21]
49,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-0.0,0.5,[-0.21  0.21]
50,39.0,other-special-issues_physically-or-emotionally-harms-others,-0.0,0.5,[-0.21  0.21]
51,57.0,somatic-and-sensory-functions_sexual-identity-behavior,-0.0,0.5,[-0.21  0.21]
52,38.0,other-special-issues_physically-harms-self,0.0,0.544,[-0.22  0.2 ]
53,20.0,daily-routines_morning-routine,0.0,0.546,[-0.23  0.2 ]
54,41.0,other-special-issues_sleep,0.0,0.558,[-0.23  0.2 ]
55,56.0,somatic-and-sensory-functions_sensory-reactivity,0.0,0.572,[-0.23  0.19]
56,36.0,other-special-issues_bullying,1.0,1.0,[1. 1.]
57,42.0,other-special-issues_substance-use,,,[nan nan]
58,58.0,toileting,,,[nan nan]
mean,,,0.5243859649122807,,
