,Unnamed: 0.1,Unnamed: 0,Item,ICC,PVal,CI95
0,0,55.0,somatic-and-sensory-functions_eating,0.947,0.0,[0.89 0.97]
1,1,20.0,daily-routines_morning-routine,0.922,0.0,[0.85 0.96]
2,2,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.915,0.0,[0.83 0.96]
3,3,12.0,cognition_planning-and-organization,0.801,0.0,[0.63 0.9 ]
4,4,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.784,0.0,[0.6  0.89]
5,5,7.0,behavior_risk-taking,0.779,0.0,[0.59 0.89]
6,6,0.0,behavior_activity-level,0.769,0.0,[0.58 0.88]
7,7,22.0,daily-routines_transitions,0.726,0.0,[0.51 0.86]
8,8,9.0,cognition_abstract-thinking,0.705,0.0,[0.48 0.84]
9,9,15.0,cognition_thinking-speed,0.7,0.0,[0.47 0.84]
10,10,27.0,emotion_stress-management,0.696,0.0,[0.46 0.84]
11,11,25.0,emotion_empathy,0.694,0.0,[0.46 0.84]
12,12,14.0,cognition_task-completion,0.665,0.0,[0.42 0.82]
13,13,1.0,behavior_anger-management,0.66,0.0,[0.41 0.82]
14,14,50.0,personality_self-confidence,0.658,0.0,[0.41 0.82]
15,15,43.0,other-special-issues_tics-and-other-atypical-movements,0.651,0.0,[0.4  0.81]
16,16,10.0,cognition_attention-concentration,0.643,0.0,[0.38 0.81]
17,17,8.0,behavior_self-control,0.633,0.0,[0.37 0.8 ]
18,18,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.631,0.0,[0.37 0.8 ]
19,19,47.0,personality_integrity-and-honesty,0.631,0.0,[0.37 0.8 ]
20,20,21.0,daily-routines_screen-time,0.628,0.0,[0.36 0.8 ]
21,21,28.0,emotion_worries-anxiety,0.623,0.0,[0.35 0.8 ]
22,22,11.0,cognition_memory-recall,0.618,0.0,[0.35 0.79]
23,23,19.0,communication_speech-quantity,0.595,0.0,[0.32 0.78]
24,24,49.0,personality_responsibility-for-self-and-others,0.594,0.0,[0.31 0.78]
25,25,24.0,emotion_emotional-regulation-and-reactivity,0.565,0.0,[0.27 0.76]
26,26,23.0,emotion_attachment,0.541,0.001,[0.24 0.75]
27,27,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.539,0.001,[0.24 0.75]
28,28,52.0,social-function_social-cooperation,0.517,0.001,[0.21 0.73]
29,29,3.0,behavior_compliance,0.501,0.001,[0.19 0.72]
30,30,48.0,personality_perseverance,0.5,0.002,[0.19 0.72]
31,31,26.0,emotion_irritability,0.47,0.003,[0.15 0.7 ]
32,32,36.0,other-special-issues_bullying,0.467,0.003,[0.15 0.7 ]
33,33,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.456,0.004,[0.13 0.69]
34,34,6.0,behavior_play,0.424,0.007,[0.09 0.67]
35,35,2.0,behavior_assertiveness,0.396,0.011,[0.06 0.65]
36,36,45.0,personality_creativity,0.396,0.011,[0.06 0.65]
37,37,54.0,social-function_tolerance,0.394,0.012,[0.06 0.65]
38,38,16.0,communication_expressive-language,0.386,0.013,[0.05 0.64]
39,39,17.0,communication_receptive-language,0.356,0.021,[0.01 0.62]
40,40,46.0,personality_future-outlook,0.348,0.023,[0.01 0.62]
41,41,44.0,other-special-issues_trauma-history,0.325,0.032,[-0.02  0.6 ]
42,42,51.0,social-function_social-communication,0.313,0.038,[-0.03  0.59]
43,43,18.0,communication_speech-quality,0.307,0.041,[-0.04  0.59]
44,44,13.0,cognition_self-image,0.296,0.047,[-0.05  0.58]
45,45,5.0,behavior_obsessive-thoughts,0.294,0.049,[-0.06  0.58]
46,46,53.0,social-function_social-engagement,0.248,0.082,[-0.11  0.55]
47,47,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.023,0.45,[-0.32  0.36]
48,48,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.006,0.486,[-0.34  0.35]
49,49,40.0,other-special-issues_self-care-hygiene,0.0,0.5,[-0.34  0.34]
50,50,38.0,other-special-issues_physically-harms-self,0.0,0.5,[-0.34  0.34]
51,51,37.0,other-special-issues_perception-of-reality,0.0,0.5,[-0.34  0.34]
52,52,41.0,other-special-issues_sleep,0.0,0.5,[-0.34  0.34]
53,53,56.0,somatic-and-sensory-functions_sensory-reactivity,0.0,0.64,[-0.4   0.29]
54,54,4.0,behavior_habits-routines,0.0,0.759,[-0.45  0.23]
55,55,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
56,56,42.0,other-special-issues_substance-use,,,[nan nan]
57,57,57.0,somatic-and-sensory-functions_sexual-identity-behavior,,,[nan nan]
58,58,58.0,toileting,,,[nan nan]
59,mean,,,0.4861090909090909,,
mean,,,,0.4861090909090909,,
