,Unnamed: 0,Item,ICC,PVal,CI95
0,43.0,other-special-issues_tics-and-other-atypical-movements,1.0,0.0,[1. 1.]
1,55.0,somatic-and-sensory-functions_eating,0.953,0.0,[0.91 0.98]
2,24.0,emotion_emotional-regulation-and-reactivity,0.851,0.0,[0.72 0.92]
3,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.811,0.0,[0.65 0.9 ]
4,13.0,cognition_self-image,0.802,0.0,[0.64 0.9 ]
5,27.0,emotion_stress-management,0.796,0.0,[0.63 0.89]
6,16.0,communication_expressive-language,0.789,0.0,[0.61 0.89]
7,7.0,behavior_risk-taking,0.778,0.0,[0.6  0.88]
8,0.0,behavior_activity-level,0.753,0.0,[0.56 0.87]
9,3.0,behavior_compliance,0.752,0.0,[0.55 0.87]
10,23.0,emotion_attachment,0.752,0.0,[0.55 0.87]
11,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.751,0.0,[0.55 0.87]
12,47.0,personality_integrity-and-honesty,0.75,0.0,[0.55 0.87]
13,11.0,cognition_memory-recall,0.73,0.0,[0.52 0.86]
14,12.0,cognition_planning-and-organization,0.73,0.0,[0.52 0.86]
15,26.0,emotion_irritability,0.728,0.0,[0.52 0.86]
16,45.0,personality_creativity,0.721,0.0,[0.51 0.85]
17,17.0,communication_receptive-language,0.702,0.0,[0.48 0.84]
18,50.0,personality_self-confidence,0.698,0.0,[0.47 0.84]
19,49.0,personality_responsibility-for-self-and-others,0.682,0.0,[0.45 0.83]
20,25.0,emotion_empathy,0.673,0.0,[0.43 0.82]
21,46.0,personality_future-outlook,0.665,0.0,[0.42 0.82]
22,21.0,daily-routines_screen-time,0.639,0.0,[0.38 0.8 ]
23,18.0,communication_speech-quality,0.612,0.0,[0.34 0.79]
24,9.0,cognition_abstract-thinking,0.608,0.0,[0.34 0.79]
25,28.0,emotion_worries-anxiety,0.604,0.0,[0.33 0.78]
26,8.0,behavior_self-control,0.598,0.0,[0.32 0.78]
27,19.0,communication_speech-quantity,0.575,0.0,[0.29 0.76]
28,15.0,cognition_thinking-speed,0.572,0.0,[0.29 0.76]
29,6.0,behavior_play,0.565,0.0,[0.28 0.76]
30,51.0,social-function_social-communication,0.562,0.0,[0.28 0.76]
31,10.0,cognition_attention-concentration,0.548,0.0,[0.26 0.75]
32,1.0,behavior_anger-management,0.518,0.001,[0.22 0.73]
33,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.517,0.001,[0.22 0.73]
34,14.0,cognition_task-completion,0.499,0.001,[0.19 0.72]
35,37.0,other-special-issues_perception-of-reality,0.492,0.002,[0.18 0.71]
36,36.0,other-special-issues_bullying,0.492,0.002,[0.18 0.71]
37,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.487,0.002,[0.18 0.71]
38,53.0,social-function_social-engagement,0.481,0.002,[0.17 0.71]
39,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.481,0.002,[0.17 0.7 ]
40,48.0,personality_perseverance,0.454,0.003,[0.14 0.69]
41,52.0,social-function_social-cooperation,0.449,0.004,[0.13 0.68]
42,5.0,behavior_obsessive-thoughts,0.439,0.005,[0.12 0.68]
43,22.0,daily-routines_transitions,0.434,0.005,[0.11 0.67]
44,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.364,0.017,[0.03 0.63]
45,2.0,behavior_assertiveness,0.36,0.018,[0.02 0.62]
46,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.349,0.022,[0.01 0.62]
47,54.0,social-function_tolerance,0.103,0.282,[-0.24  0.43]
48,4.0,behavior_habits-routines,0.081,0.325,[-0.27  0.41]
49,56.0,somatic-and-sensory-functions_sensory-reactivity,0.043,0.405,[-0.3   0.38]
50,57.0,somatic-and-sensory-functions_sexual-identity-behavior,0.0,0.5,[-0.34  0.34]
51,58.0,toileting,0.0,0.5,[-0.34  0.34]
52,40.0,other-special-issues_self-care-hygiene,0.0,0.5,[-0.34  0.34]
53,38.0,other-special-issues_physically-harms-self,0.0,0.5,[-0.34  0.34]
54,20.0,daily-routines_morning-routine,-0.0,0.5,[-0.34  0.34]
55,44.0,other-special-issues_trauma-history,-0.0,0.5,[-0.34  0.34]
56,41.0,other-special-issues_sleep,-0.043,0.594,[-0.38  0.3 ]
57,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
58,42.0,other-special-issues_substance-use,,,[nan nan]
mean,,,0.5226842105263159,,
