,Unnamed: 0,Item,ICC,PVal,CI95
0,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.989,0.0,[0.98 0.99]
1,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.974,0.0,[0.94 0.99]
2,1.0,behavior_anger-management,0.956,0.0,[0.91 0.98]
3,5.0,behavior_obsessive-thoughts,0.941,0.0,[0.88 0.97]
4,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.926,0.0,[0.85 0.96]
5,46.0,personality_future-outlook,0.899,0.0,[0.8  0.95]
6,47.0,personality_integrity-and-honesty,0.847,0.0,[0.7  0.93]
7,7.0,behavior_risk-taking,0.846,0.0,[0.7  0.92]
8,50.0,personality_self-confidence,0.844,0.0,[0.7  0.92]
9,13.0,cognition_self-image,0.832,0.0,[0.67 0.92]
10,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.823,0.0,[0.66 0.91]
11,0.0,behavior_activity-level,0.81,0.0,[0.63 0.91]
12,16.0,communication_expressive-language,0.805,0.0,[0.63 0.9 ]
13,25.0,emotion_empathy,0.8,0.0,[0.62 0.9 ]
14,14.0,cognition_task-completion,0.798,0.0,[0.61 0.9 ]
15,52.0,social-function_social-cooperation,0.783,0.0,[0.59 0.89]
16,3.0,behavior_compliance,0.779,0.0,[0.58 0.89]
17,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.731,0.0,[0.5  0.86]
18,6.0,behavior_play,0.725,0.0,[0.49 0.86]
19,28.0,emotion_worries-anxiety,0.697,0.0,[0.45 0.85]
20,15.0,cognition_thinking-speed,0.693,0.0,[0.44 0.84]
21,19.0,communication_speech-quantity,0.691,0.0,[0.44 0.84]
22,26.0,emotion_irritability,0.678,0.0,[0.42 0.83]
23,10.0,cognition_attention-concentration,0.664,0.0,[0.4  0.83]
24,12.0,cognition_planning-and-organization,0.642,0.0,[0.37 0.81]
25,45.0,personality_creativity,0.628,0.0,[0.35 0.81]
26,53.0,social-function_social-engagement,0.621,0.0,[0.34 0.8 ]
27,51.0,social-function_social-communication,0.585,0.0,[0.28 0.78]
28,49.0,personality_responsibility-for-self-and-others,0.579,0.0,[0.28 0.78]
29,2.0,behavior_assertiveness,0.571,0.0,[0.27 0.77]
30,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.567,0.001,[0.26 0.77]
31,8.0,behavior_self-control,0.542,0.001,[0.22 0.75]
32,4.0,behavior_habits-routines,0.535,0.001,[0.22 0.75]
33,11.0,cognition_memory-recall,0.496,0.003,[0.16 0.73]
34,27.0,emotion_stress-management,0.455,0.006,[0.11 0.7 ]
35,24.0,emotion_emotional-regulation-and-reactivity,0.448,0.007,[0.1 0.7]
36,48.0,personality_perseverance,0.375,0.021,[0.02 0.65]
37,18.0,communication_speech-quality,0.302,0.052,[-0.07  0.6 ]
38,17.0,communication_receptive-language,0.0,0.5,[-0.36  0.36]
39,37.0,other-special-issues_perception-of-reality,0.0,0.5,[-0.36  0.36]
40,21.0,daily-routines_screen-time,0.0,0.5,[-0.36  0.36]
41,39.0,other-special-issues_physically-or-emotionally-harms-others,0.0,0.5,[-0.36  0.36]
42,40.0,other-special-issues_self-care-hygiene,1.0,1.0,[1. 1.]
43,9.0,cognition_abstract-thinking,,,[nan nan]
44,20.0,daily-routines_morning-routine,,,[nan nan]
45,22.0,daily-routines_transitions,,,[nan nan]
46,23.0,emotion_attachment,,,[nan nan]
47,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,,,[nan nan]
48,36.0,other-special-issues_bullying,,,[nan nan]
49,38.0,other-special-issues_physically-harms-self,,,[nan nan]
50,41.0,other-special-issues_sleep,,,[nan nan]
51,42.0,other-special-issues_substance-use,,,[nan nan]
52,43.0,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
53,44.0,other-special-issues_trauma-history,,,[nan nan]
54,54.0,social-function_tolerance,,,[nan nan]
55,55.0,somatic-and-sensory-functions_eating,,,[nan nan]
56,56.0,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
57,57.0,somatic-and-sensory-functions_sexual-identity-behavior,,,[nan nan]
58,58.0,toileting,,,[nan nan]
mean,,,0.6483023255813953,,
