,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Item,ICC,PVal,CI95
0,0,0,43.0,other-special-issues_tics-and-other-atypical-movements,1.0,0.0,[nan nan]
1,1,1,39.0,other-special-issues_physically-or-emotionally-harms-others,1.0,0.0,[nan nan]
2,2,2,55.0,somatic-and-sensory-functions_eating,0.923,0.0,[0.85 0.96]
3,3,3,20.0,daily-routines_morning-routine,0.922,0.0,[0.85 0.96]
4,4,4,12.0,cognition_planning-and-organization,0.91,0.0,[0.82 0.96]
5,5,5,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.895,0.0,[0.8  0.95]
6,6,6,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.853,0.0,[0.72 0.93]
7,7,7,10.0,cognition_attention-concentration,0.805,0.0,[0.64 0.9 ]
8,8,8,21.0,daily-routines_screen-time,0.797,0.0,[0.62 0.9 ]
9,9,9,9.0,cognition_abstract-thinking,0.771,0.0,[0.58 0.88]
10,10,10,1.0,behavior_anger-management,0.764,0.0,[0.57 0.88]
11,11,11,50.0,personality_self-confidence,0.75,0.0,[0.55 0.87]
12,12,12,14.0,cognition_task-completion,0.739,0.0,[0.53 0.86]
13,13,13,7.0,behavior_risk-taking,0.733,0.0,[0.52 0.86]
14,14,14,15.0,cognition_thinking-speed,0.731,0.0,[0.52 0.86]
15,15,15,8.0,behavior_self-control,0.696,0.0,[0.46 0.84]
16,16,16,28.0,emotion_worries-anxiety,0.677,0.0,[0.43 0.83]
17,17,17,25.0,emotion_empathy,0.661,0.0,[0.41 0.82]
18,18,18,11.0,cognition_memory-recall,0.657,0.0,[0.4  0.82]
19,19,19,44.0,other-special-issues_trauma-history,0.651,0.0,[0.4  0.81]
20,20,20,19.0,communication_speech-quantity,0.636,0.0,[0.37 0.8 ]
21,21,21,49.0,personality_responsibility-for-self-and-others,0.632,0.0,[0.37 0.8 ]
22,22,22,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.626,0.0,[0.36 0.8 ]
23,23,23,47.0,personality_integrity-and-honesty,0.619,0.0,[0.35 0.79]
24,24,24,2.0,behavior_assertiveness,0.617,0.0,[0.35 0.79]
25,25,25,22.0,daily-routines_transitions,0.608,0.0,[0.33 0.79]
26,26,26,52.0,social-function_social-cooperation,0.608,0.0,[0.33 0.79]
27,27,27,27.0,emotion_stress-management,0.593,0.0,[0.31 0.78]
28,28,28,0.0,behavior_activity-level,0.585,0.0,[0.3  0.77]
29,29,29,24.0,emotion_emotional-regulation-and-reactivity,0.568,0.0,[0.28 0.76]
30,30,30,26.0,emotion_irritability,0.546,0.001,[0.25 0.75]
31,31,31,54.0,social-function_tolerance,0.545,0.001,[0.25 0.75]
32,32,32,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.528,0.001,[0.22 0.74]
33,33,33,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.527,0.001,[0.22 0.74]
34,34,34,23.0,emotion_attachment,0.497,0.002,[0.18 0.72]
35,35,35,3.0,behavior_compliance,0.496,0.002,[0.18 0.72]
36,36,36,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.49,0.002,[0.18 0.71]
37,37,37,5.0,behavior_obsessive-thoughts,0.389,0.013,[0.05 0.65]
38,38,38,6.0,behavior_play,0.38,0.015,[0.04 0.64]
39,39,39,48.0,personality_perseverance,0.36,0.02,[0.02 0.63]
40,40,40,51.0,social-function_social-communication,0.337,0.027,[-0.01  0.61]
41,41,41,16.0,communication_expressive-language,0.32,0.035,[-0.03  0.6 ]
42,42,42,46.0,personality_future-outlook,0.311,0.039,[-0.04  0.59]
43,43,43,53.0,social-function_social-engagement,0.265,0.068,[-0.09  0.56]
44,44,44,13.0,cognition_self-image,0.238,0.091,[-0.12  0.54]
45,45,45,45.0,personality_creativity,0.192,0.142,[-0.16  0.5 ]
46,46,46,17.0,communication_receptive-language,0.172,0.169,[-0.18  0.49]
47,47,47,56.0,somatic-and-sensory-functions_sensory-reactivity,0.161,0.186,[-0.19  0.48]
48,48,48,4.0,behavior_habits-routines,0.034,0.426,[-0.31  0.37]
49,49,49,40.0,other-special-issues_self-care-hygiene,0.0,0.5,[-0.34  0.34]
50,50,50,37.0,other-special-issues_perception-of-reality,0.0,0.5,[-0.34  0.34]
51,51,51,41.0,other-special-issues_sleep,0.0,0.5,[-0.34  0.34]
52,52,52,36.0,other-special-issues_bullying,0.0,0.571,[-0.37  0.32]
53,53,53,18.0,communication_speech-quality,0.0,0.634,[-0.4   0.29]
54,54,54,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.0,0.73,[-0.44  0.24]
55,55,55,38.0,other-special-issues_physically-harms-self,,,[nan nan]
56,56,56,42.0,other-special-issues_substance-use,,,[nan nan]
57,57,57,57.0,somatic-and-sensory-functions_sexual-identity-behavior,,,[nan nan]
58,58,58,58.0,toileting,,,[nan nan]
59,59,mean,,,0.523909090909091,,
60,mean,,,,0.523909090909091,,
mean,,,,,0.523909090909091,,
