,Unnamed: 0,Item,ICC,PVal,CI95
0,43.0,other-special-issues_tics-and-other-atypical-movements,1.0,0.0,[nan nan]
1,36.0,other-special-issues_bullying,1.0,0.0,[1. 1.]
2,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.968,0.0,[0.93 0.99]
3,55.0,somatic-and-sensory-functions_eating,0.946,0.0,[0.88 0.98]
4,47.0,personality_integrity-and-honesty,0.941,0.0,[0.87 0.97]
5,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.858,0.0,[0.7  0.94]
6,51.0,social-function_social-communication,0.841,0.0,[0.67 0.93]
7,23.0,emotion_attachment,0.838,0.0,[0.66 0.93]
8,22.0,daily-routines_transitions,0.826,0.0,[0.64 0.92]
9,45.0,personality_creativity,0.811,0.0,[0.61 0.91]
10,19.0,communication_speech-quantity,0.809,0.0,[0.61 0.91]
11,21.0,daily-routines_screen-time,0.807,0.0,[0.6  0.91]
12,8.0,behavior_self-control,0.783,0.0,[0.56 0.9 ]
13,28.0,emotion_worries-anxiety,0.773,0.0,[0.54 0.9 ]
14,0.0,behavior_activity-level,0.771,0.0,[0.54 0.89]
15,15.0,cognition_thinking-speed,0.756,0.0,[0.51 0.89]
16,26.0,emotion_irritability,0.723,0.0,[0.46 0.87]
17,12.0,cognition_planning-and-organization,0.706,0.0,[0.43 0.86]
18,1.0,behavior_anger-management,0.704,0.0,[0.43 0.86]
19,57.0,somatic-and-sensory-functions_sexual-identity-behavior,0.701,0.0,[0.42 0.86]
20,27.0,emotion_stress-management,0.695,0.0,[0.41 0.86]
21,9.0,cognition_abstract-thinking,0.658,0.0,[0.36 0.84]
22,37.0,other-special-issues_perception-of-reality,0.657,0.0,[0.35 0.84]
23,53.0,social-function_social-engagement,0.646,0.0,[0.34 0.83]
24,2.0,behavior_assertiveness,0.62,0.0,[0.3  0.82]
25,54.0,social-function_tolerance,0.607,0.001,[0.28 0.81]
26,50.0,personality_self-confidence,0.598,0.001,[0.27 0.8 ]
27,7.0,behavior_risk-taking,0.576,0.001,[0.23 0.79]
28,5.0,behavior_obsessive-thoughts,0.57,0.001,[0.22 0.79]
29,10.0,cognition_attention-concentration,0.552,0.002,[0.2  0.78]
30,25.0,emotion_empathy,0.514,0.004,[0.15 0.76]
31,52.0,social-function_social-cooperation,0.509,0.005,[0.14 0.75]
32,16.0,communication_expressive-language,0.504,0.005,[0.13 0.75]
33,49.0,personality_responsibility-for-self-and-others,0.502,0.005,[0.13 0.75]
34,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.493,0.006,[0.12 0.74]
35,14.0,cognition_task-completion,0.468,0.009,[0.09 0.73]
36,3.0,behavior_compliance,0.444,0.013,[0.06 0.71]
37,24.0,emotion_emotional-regulation-and-reactivity,0.439,0.014,[0.05 0.71]
38,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.416,0.019,[0.02 0.7 ]
39,44.0,other-special-issues_trauma-history,0.388,0.028,[-0.01  0.68]
40,6.0,behavior_play,0.371,0.034,[-0.03  0.67]
41,13.0,cognition_self-image,0.344,0.046,[-0.06  0.65]
42,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.273,0.093,[-0.14  0.6 ]
43,48.0,personality_perseverance,0.26,0.105,[-0.15  0.59]
44,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.195,0.176,[-0.22  0.55]
45,4.0,behavior_habits-routines,0.145,0.244,[-0.27  0.51]
46,56.0,somatic-and-sensory-functions_sensory-reactivity,0.128,0.272,[-0.28  0.5 ]
47,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.12,0.283,[-0.29  0.49]
48,20.0,daily-routines_morning-routine,0.118,0.288,[-0.29  0.49]
49,11.0,cognition_memory-recall,0.057,0.393,[-0.35  0.44]
50,46.0,personality_future-outlook,0.0,0.5,[-0.4  0.4]
51,17.0,communication_receptive-language,0.0,0.5,[-0.4  0.4]
52,38.0,other-special-issues_physically-harms-self,0.0,0.5,[-0.4  0.4]
53,41.0,other-special-issues_sleep,-0.0,0.5,[-0.4  0.4]
54,40.0,other-special-issues_self-care-hygiene,-0.0,0.5,[-0.4  0.4]
55,18.0,communication_speech-quality,0.0,0.662,[-0.47  0.32]
56,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
57,42.0,other-special-issues_substance-use,,,[nan nan]
58,58.0,toileting,,,[nan nan]
mean,,,0.5255178571428571,,
