,Unnamed: 0,Item,ICC,PVal,CI95
0,5.0,behavior_obsessive-thoughts,0.967,0.0,[0.9  0.99]
1,1.0,behavior_anger-management,0.943,0.0,[0.83 0.98]
2,26.0,emotion_irritability,0.919,0.0,[0.76 0.97]
3,51.0,social-function_social-communication,0.903,0.0,[0.71 0.97]
4,7.0,behavior_risk-taking,0.9,0.0,[0.71 0.97]
5,50.0,personality_self-confidence,0.896,0.0,[0.7  0.97]
6,46.0,personality_future-outlook,0.879,0.0,[0.65 0.96]
7,47.0,personality_integrity-and-honesty,0.876,0.0,[0.64 0.96]
8,13.0,cognition_self-image,0.79,0.0,[0.45 0.93]
9,25.0,emotion_empathy,0.773,0.001,[0.41 0.92]
10,3.0,behavior_compliance,0.752,0.001,[0.37 0.92]
11,10.0,cognition_attention-concentration,0.743,0.001,[0.35 0.91]
12,52.0,social-function_social-cooperation,0.737,0.001,[0.34 0.91]
13,11.0,cognition_memory-recall,0.61,0.01,[0.11 0.86]
14,28.0,emotion_worries-anxiety,0.6,0.012,[0.1  0.86]
15,6.0,behavior_play,0.536,0.024,[0.01 0.83]
16,8.0,behavior_self-control,0.523,0.028,[-0.01  0.83]
17,53.0,social-function_social-engagement,0.418,0.068,[-0.15  0.78]
18,27.0,emotion_stress-management,0.373,0.094,[-0.2   0.76]
19,2.0,behavior_assertiveness,0.25,0.195,[-0.33  0.69]
20,24.0,emotion_emotional-regulation-and-reactivity,0.246,0.198,[-0.33  0.69]
21,0.0,behavior_activity-level,0.123,0.338,[-0.44  0.62]
22,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.103,0.363,[-0.45  0.6 ]
23,49.0,personality_responsibility-for-self-and-others,0.089,0.381,[-0.47  0.59]
24,17.0,communication_receptive-language,0.0,0.5,[-0.53  0.53]
25,37.0,other-special-issues_perception-of-reality,0.0,0.5,[-0.53  0.53]
26,39.0,other-special-issues_physically-or-emotionally-harms-others,0.0,0.5,[-0.53  0.53]
27,12.0,cognition_planning-and-organization,0.0,0.5,[-0.53  0.53]
28,18.0,communication_speech-quality,0.0,0.5,[-0.53  0.53]
29,16.0,communication_expressive-language,-0.0,0.5,[-0.53  0.53]
30,19.0,communication_speech-quantity,-0.0,0.5,[-0.53  0.53]
31,48.0,personality_perseverance,-0.045,0.56,[-0.56  0.5 ]
32,4.0,behavior_habits-routines,-0.108,0.643,[-0.61  0.45]
33,9.0,cognition_abstract-thinking,,,[nan nan]
34,14.0,cognition_task-completion,,,[nan nan]
35,15.0,cognition_thinking-speed,,,[nan nan]
36,20.0,daily-routines_morning-routine,,,[nan nan]
37,21.0,daily-routines_screen-time,,,[nan nan]
38,22.0,daily-routines_transitions,,,[nan nan]
39,23.0,emotion_attachment,,,[nan nan]
40,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,,,[nan nan]
41,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,,,[nan nan]
42,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,,,[nan nan]
43,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,,,[nan nan]
44,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,,,[nan nan]
45,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,,,[nan nan]
46,36.0,other-special-issues_bullying,,,[nan nan]
47,38.0,other-special-issues_physically-harms-self,,,[nan nan]
48,40.0,other-special-issues_self-care-hygiene,,,[nan nan]
49,41.0,other-special-issues_sleep,,,[nan nan]
50,42.0,other-special-issues_substance-use,,,[nan nan]
51,43.0,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
52,44.0,other-special-issues_trauma-history,,,[nan nan]
53,45.0,personality_creativity,,,[nan nan]
54,54.0,social-function_tolerance,,,[nan nan]
55,55.0,somatic-and-sensory-functions_eating,,,[nan nan]
56,56.0,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
57,57.0,somatic-and-sensory-functions_sexual-identity-behavior,,,[nan nan]
58,58.0,toileting,,,[nan nan]
mean,,,0.453,,
