,Unnamed: 0,Item,ICC,PVal,CI95
0,43.0,other-special-issues_tics-and-other-atypical-movements,1.0,0.0,[nan nan]
1,36.0,other-special-issues_bullying,1.0,0.0,[1. 1.]
2,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.984,0.0,[0.96 0.99]
3,55.0,somatic-and-sensory-functions_eating,0.971,0.0,[0.93 0.99]
4,47.0,personality_integrity-and-honesty,0.966,0.0,[0.92 0.99]
5,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.925,0.0,[0.83 0.97]
6,51.0,social-function_social-communication,0.913,0.0,[0.8  0.96]
7,23.0,emotion_attachment,0.915,0.0,[0.8  0.96]
8,22.0,daily-routines_transitions,0.905,0.0,[0.78 0.96]
9,45.0,personality_creativity,0.895,0.0,[0.76 0.95]
10,19.0,communication_speech-quantity,0.898,0.0,[0.76 0.96]
11,21.0,daily-routines_screen-time,0.897,0.0,[0.76 0.96]
12,8.0,behavior_self-control,0.881,0.0,[0.73 0.95]
13,28.0,emotion_worries-anxiety,0.874,0.0,[0.71 0.95]
14,0.0,behavior_activity-level,0.849,0.0,[0.62 0.94]
15,15.0,cognition_thinking-speed,0.866,0.0,[0.69 0.94]
16,26.0,emotion_irritability,0.84,0.0,[0.63 0.93]
17,12.0,cognition_planning-and-organization,0.831,0.0,[0.61 0.93]
18,1.0,behavior_anger-management,0.832,0.0,[0.61 0.93]
19,57.0,somatic-and-sensory-functions_sexual-identity-behavior,0.818,0.0,[0.59 0.92]
20,27.0,emotion_stress-management,0.823,0.0,[0.59 0.92]
21,9.0,cognition_abstract-thinking,0.792,0.0,[0.53 0.91]
22,37.0,other-special-issues_perception-of-reality,0.793,0.0,[0.53 0.91]
23,53.0,social-function_social-engagement,0.784,0.0,[0.51 0.91]
24,2.0,behavior_assertiveness,0.771,0.0,[0.47 0.9 ]
25,54.0,social-function_tolerance,0.76,0.001,[0.44 0.9 ]
26,50.0,personality_self-confidence,0.683,0.001,[0.2  0.87]
27,7.0,behavior_risk-taking,0.709,0.001,[0.34 0.87]
28,5.0,behavior_obsessive-thoughts,0.722,0.001,[0.37 0.88]
29,10.0,cognition_attention-concentration,0.72,0.002,[0.34 0.88]
30,25.0,emotion_empathy,0.688,0.004,[0.27 0.87]
31,52.0,social-function_social-cooperation,0.609,0.005,[0.1  0.83]
32,16.0,communication_expressive-language,0.67,0.005,[0.25 0.86]
33,49.0,personality_responsibility-for-self-and-others,0.667,0.005,[0.24 0.85]
34,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.661,0.006,[0.22 0.85]
35,14.0,cognition_task-completion,0.647,0.009,[0.17 0.85]
36,3.0,behavior_compliance,0.624,0.013,[0.12 0.84]
37,24.0,emotion_emotional-regulation-and-reactivity,0.617,0.014,[0.1  0.84]
38,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.593,0.019,[0.05 0.82]
39,44.0,other-special-issues_trauma-history,0.537,0.028,[-0.01  0.79]
40,6.0,behavior_play,0.552,0.034,[-0.06  0.81]
41,13.0,cognition_self-image,0.522,0.046,[-0.14  0.8 ]
42,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.437,0.093,[-0.33  0.76]
43,48.0,personality_perseverance,0.397,0.105,[-0.31  0.73]
44,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.315,0.176,[-0.5  0.7]
45,4.0,behavior_habits-routines,0.253,0.244,[-0.71  0.68]
46,56.0,somatic-and-sensory-functions_sensory-reactivity,0.232,0.272,[-0.83  0.67]
47,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.217,0.283,[-0.83  0.66]
48,20.0,daily-routines_morning-routine,0.21,0.288,[-0.81  0.66]
49,11.0,cognition_memory-recall,0.111,0.393,[-1.13  0.62]
50,46.0,personality_future-outlook,0.0,0.5,[-1.24  0.56]
51,17.0,communication_receptive-language,0.0,0.5,[-1.31  0.57]
52,38.0,other-special-issues_physically-harms-self,0.0,0.5,[-1.31  0.57]
53,41.0,other-special-issues_sleep,-0.0,0.5,[-1.19  0.56]
54,40.0,other-special-issues_self-care-hygiene,-0.0,0.5,[-1.19  0.56]
55,18.0,communication_speech-quality,0.0,0.662,[-1.95  0.49]
56,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
57,42.0,other-special-issues_substance-use,,,[nan nan]
58,58.0,toileting,,,[nan nan]
mean,,,0.6281428571428572,,
