,Item,ICC,PVal,CI95
55,somatic-and-sensory-functions_eating,1.000,0.000,[1. 1.]
1,behavior_anger-management,0.905,0.000,[0.8  0.96]
26,emotion_irritability,0.875,0.000,[0.74 0.94]
47,personality_integrity-and-honesty,0.871,0.000,[0.73 0.94]
5,behavior_obsessive-thoughts,0.861,0.000,[0.71 0.94]
7,behavior_risk-taking,0.825,0.000,[0.65 0.92]
10,cognition_attention-concentration,0.793,0.000,[0.59 0.9 ]
3,behavior_compliance,0.783,0.000,[0.57 0.9 ]
50,personality_self-confidence,0.772,0.000,[0.55 0.89]
46,personality_future-outlook,0.686,0.000,[0.41 0.85]
43,other-special-issues_tics-and-other-atypical-movements,0.658,0.000,[0.37 0.83]
0,behavior_activity-level,0.656,0.000,[0.37 0.83]
6,behavior_play,0.652,0.000,[0.36 0.83]
28,emotion_worries-anxiety,0.603,0.000,[0.29 0.8 ]
51,social-function_social-communication,0.586,0.001,[0.26 0.79]
16,communication_expressive-language,0.571,0.001,[0.24 0.78]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.570,0.001,[0.24 0.78]
13,cognition_self-image,0.562,0.001,[0.23 0.78]
8,behavior_self-control,0.558,0.001,[0.22 0.77]
25,emotion_empathy,0.505,0.004,[0.15 0.74]
24,emotion_emotional-regulation-and-reactivity,0.399,0.020,[0.02 0.68]
27,emotion_stress-management,0.392,0.022,[0.01 0.67]
11,cognition_memory-recall,0.381,0.025,[0.   0.67]
2,behavior_assertiveness,0.377,0.026,[-0.    0.66]
53,social-function_social-engagement,0.347,0.038,[-0.04  0.64]
52,social-function_social-cooperation,0.276,0.081,[-0.12  0.59]
19,communication_speech-quantity,0.132,0.256,[-0.26  0.49]
49,personality_responsibility-for-self-and-others,0.028,0.444,[-0.36  0.4 ]
48,personality_perseverance,0.014,0.472,[-0.37  0.39]
12,cognition_planning-and-organization,0.010,0.480,[-0.37  0.39]
22,daily-routines_transitions,0.000,0.500,[-0.38  0.38]
37,other-special-issues_perception-of-reality,0.000,0.500,[-0.38  0.38]
36,other-special-issues_bullying,-0.000,0.500,[-0.38  0.38]
44,other-special-issues_trauma-history,-0.000,0.500,[-0.38  0.38]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-0.000,0.500,[-0.38  0.38]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,-0.000,0.500,[-0.38  0.38]
54,social-function_tolerance,-0.000,0.500,[-0.38  0.38]
17,communication_receptive-language,-0.013,0.526,[-0.39  0.37]
39,other-special-issues_physically-or-emotionally-harms-others,-0.040,0.579,[-0.41  0.35]
4,behavior_habits-routines,-0.050,0.599,[-0.42  0.34]
18,communication_speech-quality,-0.220,0.865,[-0.55  0.18]
9,cognition_abstract-thinking,,,[nan nan]
14,cognition_task-completion,,,[nan nan]
15,cognition_thinking-speed,,,[nan nan]
20,daily-routines_morning-routine,,,[nan nan]
21,daily-routines_screen-time,,,[nan nan]
23,emotion_attachment,,,[nan nan]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,,,[nan nan]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,,,[nan nan]
34,learning-and-acquisition-of-knowledge-and-skills_reading,,,[nan nan]
35,learning-and-acquisition-of-knowledge-and-skills_writing,,,[nan nan]
38,other-special-issues_physically-harms-self,,,[nan nan]
40,other-special-issues_self-care-hygiene,,,[nan nan]
41,other-special-issues_sleep,,,[nan nan]
42,other-special-issues_substance-use,,,[nan nan]
45,personality_creativity,,,[nan nan]
56,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
57,somatic-and-sensory-functions_sexual-identity-behavior,,,[nan nan]
58,toileting,,,[nan nan]
