,Unnamed: 0.1,Unnamed: 0,Item,ICC,PVal,CI95
0,0,40.0,other-special-issues_self-care-hygiene,1.0,0.0,[nan nan]
1,1,27.0,emotion_stress-management,0.997,0.0,[0.99 1.  ]
2,2,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.989,0.0,[0.97 1.  ]
3,3,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.973,0.0,[0.92 0.99]
4,4,6.0,behavior_play,0.971,0.0,[0.92 0.99]
5,5,1.0,behavior_anger-management,0.967,0.0,[0.91 0.99]
6,6,0.0,behavior_activity-level,0.957,0.0,[0.88 0.98]
7,7,4.0,behavior_habits-routines,0.935,0.0,[0.83 0.98]
8,8,3.0,behavior_compliance,0.934,0.0,[0.82 0.98]
9,9,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.914,0.0,[0.77 0.97]
10,10,16.0,communication_expressive-language,0.902,0.0,[0.74 0.96]
11,11,28.0,emotion_worries-anxiety,0.868,0.0,[0.66 0.95]
12,12,19.0,communication_speech-quantity,0.846,0.0,[0.61 0.94]
13,13,53.0,social-function_social-engagement,0.84,0.0,[0.6  0.94]
14,14,49.0,personality_responsibility-for-self-and-others,0.84,0.0,[0.6  0.94]
15,15,2.0,behavior_assertiveness,0.826,0.0,[0.57 0.94]
16,16,52.0,social-function_social-cooperation,0.821,0.0,[0.56 0.93]
17,17,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.804,0.0,[0.53 0.93]
18,18,7.0,behavior_risk-taking,0.773,0.0,[0.46 0.91]
19,19,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.764,0.0,[0.45 0.91]
20,20,14.0,cognition_task-completion,0.762,0.0,[0.44 0.91]
21,21,12.0,cognition_planning-and-organization,0.759,0.0,[0.44 0.91]
22,22,50.0,personality_self-confidence,0.74,0.0,[0.4 0.9]
23,23,25.0,emotion_empathy,0.735,0.0,[0.39 0.9 ]
24,24,15.0,cognition_thinking-speed,0.694,0.001,[0.32 0.88]
25,25,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.673,0.002,[0.28 0.87]
26,26,10.0,cognition_attention-concentration,0.647,0.003,[0.24 0.86]
27,27,24.0,emotion_emotional-regulation-and-reactivity,0.628,0.003,[0.21 0.85]
28,28,45.0,personality_creativity,0.592,0.006,[0.15 0.84]
29,29,18.0,communication_speech-quality,0.541,0.013,[0.08 0.81]
30,30,51.0,social-function_social-communication,0.485,0.024,[0.   0.78]
31,31,11.0,cognition_memory-recall,0.462,0.031,[-0.03  0.77]
32,32,48.0,personality_perseverance,0.461,0.031,[-0.03  0.77]
33,33,8.0,behavior_self-control,0.461,0.031,[-0.03  0.77]
34,34,26.0,emotion_irritability,0.3,0.121,[-0.21  0.68]
35,35,47.0,personality_integrity-and-honesty,0.0,0.5,[-0.48  0.48]
36,36,13.0,cognition_self-image,0.0,0.5,[-0.48  0.48]
37,37,21.0,daily-routines_screen-time,0.0,0.5,[-0.48  0.48]
38,38,5.0,behavior_obsessive-thoughts,0.0,0.5,[-0.48  0.48]
39,39,9.0,cognition_abstract-thinking,,,[nan nan]
40,40,17.0,communication_receptive-language,,,[nan nan]
41,41,20.0,daily-routines_morning-routine,,,[nan nan]
42,42,22.0,daily-routines_transitions,,,[nan nan]
43,43,23.0,emotion_attachment,,,[nan nan]
44,44,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,,,[nan nan]
45,45,36.0,other-special-issues_bullying,,,[nan nan]
46,46,37.0,other-special-issues_perception-of-reality,,,[nan nan]
47,47,38.0,other-special-issues_physically-harms-self,,,[nan nan]
48,48,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
49,49,41.0,other-special-issues_sleep,,,[nan nan]
50,50,42.0,other-special-issues_substance-use,,,[nan nan]
51,51,43.0,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
52,52,44.0,other-special-issues_trauma-history,,,[nan nan]
53,53,46.0,personality_future-outlook,,,[nan nan]
54,54,54.0,social-function_tolerance,,,[nan nan]
55,55,55.0,somatic-and-sensory-functions_eating,,,[nan nan]
56,56,56.0,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
57,57,57.0,somatic-and-sensory-functions_sexual-identity-behavior,,,[nan nan]
58,58,58.0,toileting,,,[nan nan]
59,mean,,,0.6887435897435896,,
mean,,,,0.6887435897435896,,
