,Unnamed: 0,Item,ICC,PVal,CI95
0,44.0,other-special-issues_trauma-history,1.0,0.0,[nan nan]
1,41.0,other-special-issues_sleep,1.0,0.0,[1. 1.]
2,55.0,somatic-and-sensory-functions_eating,0.994,0.0,[0.99 1.  ]
3,21.0,daily-routines_screen-time,0.969,0.0,[0.93 0.99]
4,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.964,0.0,[0.92 0.98]
5,57.0,somatic-and-sensory-functions_sexual-identity-behavior,0.951,0.0,[0.89 0.98]
6,2.0,behavior_assertiveness,0.916,0.0,[0.8  0.96]
7,52.0,social-function_social-cooperation,0.915,0.0,[0.8  0.96]
8,12.0,cognition_planning-and-organization,0.897,0.0,[0.76 0.96]
9,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.885,0.0,[0.74 0.95]
10,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.871,0.0,[0.7  0.94]
11,0.0,behavior_activity-level,0.87,0.0,[0.7  0.94]
12,50.0,personality_self-confidence,0.843,0.0,[0.64 0.93]
13,9.0,cognition_abstract-thinking,0.808,0.0,[0.52 0.92]
14,24.0,emotion_emotional-regulation-and-reactivity,0.819,0.0,[0.58 0.92]
15,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.816,0.0,[0.58 0.92]
16,8.0,behavior_self-control,0.807,0.0,[0.55 0.92]
17,16.0,communication_expressive-language,0.795,0.0,[0.54 0.91]
18,36.0,other-special-issues_bullying,0.793,0.0,[0.53 0.91]
19,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.792,0.0,[0.52 0.91]
20,46.0,personality_future-outlook,0.779,0.0,[0.5 0.9]
21,19.0,communication_speech-quantity,0.781,0.0,[0.49 0.91]
22,23.0,emotion_attachment,0.747,0.001,[0.43 0.89]
23,28.0,emotion_worries-anxiety,0.72,0.001,[0.37 0.88]
24,27.0,emotion_stress-management,0.736,0.001,[0.4  0.89]
25,11.0,cognition_memory-recall,0.737,0.001,[0.39 0.89]
26,3.0,behavior_compliance,0.735,0.001,[0.38 0.89]
27,20.0,daily-routines_morning-routine,0.711,0.003,[0.32 0.88]
28,51.0,social-function_social-communication,0.706,0.003,[0.31 0.87]
29,25.0,emotion_empathy,0.69,0.003,[0.3  0.86]
30,48.0,personality_perseverance,0.68,0.005,[0.25 0.86]
31,17.0,communication_receptive-language,0.681,0.005,[0.25 0.86]
32,10.0,cognition_attention-concentration,0.619,0.008,[0.16 0.83]
33,53.0,social-function_social-engagement,0.616,0.014,[0.1  0.83]
34,13.0,cognition_self-image,0.599,0.019,[0.05 0.83]
35,15.0,cognition_thinking-speed,0.58,0.024,[0.01 0.82]
36,4.0,behavior_habits-routines,0.555,0.03,[-0.03  0.81]
37,14.0,cognition_task-completion,0.296,0.203,[-0.61  0.69]
38,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.253,0.251,[-0.78  0.68]
39,49.0,personality_responsibility-for-self-and-others,0.021,0.48,[-1.26  0.58]
40,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.0,0.5,[-1.31  0.57]
41,54.0,social-function_tolerance,0.0,0.5,[-1.31  0.57]
42,26.0,emotion_irritability,0.0,0.5,[-1.43  0.58]
43,5.0,behavior_obsessive-thoughts,0.0,0.5,[-1.19  0.56]
44,1.0,behavior_anger-management,-0.0,0.5,[-1.31  0.57]
45,7.0,behavior_risk-taking,-0.0,0.5,[-1.31  0.57]
46,18.0,communication_speech-quality,0.0,0.58,[-1.69  0.54]
47,6.0,behavior_play,0.0,1.0,[-14.83  -0.95]
48,22.0,daily-routines_transitions,,,[nan nan]
49,37.0,other-special-issues_perception-of-reality,,,[nan nan]
50,38.0,other-special-issues_physically-harms-self,,,[nan nan]
51,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
52,40.0,other-special-issues_self-care-hygiene,,,[nan nan]
53,42.0,other-special-issues_substance-use,,,[nan nan]
54,43.0,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
55,45.0,personality_creativity,,,[nan nan]
56,47.0,personality_integrity-and-honesty,,,[nan nan]
57,56.0,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
58,58.0,toileting,,,[nan nan]
mean,,,0.6238958333333333,,
