,Unnamed: 0.1,Unnamed: 0,Item,ICC,PVal,CI95
0,0,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.986,0.0,[0.97 0.99]
1,1,19.0,communication_speech-quantity,0.872,0.0,[0.73 0.94]
2,2,57.0,somatic-and-sensory-functions_sexual-identity-behavior,0.804,0.0,[0.6  0.91]
3,3,10.0,cognition_attention-concentration,0.776,0.0,[0.55 0.9 ]
4,4,2.0,behavior_assertiveness,0.714,0.0,[0.44 0.87]
5,5,24.0,emotion_emotional-regulation-and-reactivity,0.682,0.0,[0.39 0.85]
6,6,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.62,0.0,[0.3  0.82]
7,7,18.0,communication_speech-quality,0.588,0.001,[0.25 0.8 ]
8,8,13.0,cognition_self-image,0.507,0.005,[0.14 0.75]
9,9,3.0,behavior_compliance,0.483,0.007,[0.11 0.74]
10,10,16.0,communication_expressive-language,0.481,0.007,[0.1  0.74]
11,11,6.0,behavior_play,0.456,0.011,[0.07 0.72]
12,12,50.0,personality_self-confidence,0.442,0.014,[0.06 0.71]
13,13,25.0,emotion_empathy,0.438,0.014,[0.05 0.71]
14,14,28.0,emotion_worries-anxiety,0.416,0.019,[0.02 0.7 ]
15,15,53.0,social-function_social-engagement,0.401,0.024,[0.01 0.69]
16,16,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.337,0.05,[-0.07  0.65]
17,17,46.0,personality_future-outlook,0.308,0.067,[-0.1   0.63]
18,18,48.0,personality_perseverance,0.267,0.098,[-0.14  0.6 ]
19,19,15.0,cognition_thinking-speed,0.162,0.22,[-0.25  0.52]
20,20,27.0,emotion_stress-management,0.102,0.314,[-0.31  0.48]
21,21,7.0,behavior_risk-taking,0.076,0.36,[-0.33  0.46]
22,22,12.0,cognition_planning-and-organization,0.0,0.5,[-0.4  0.4]
23,23,52.0,social-function_social-cooperation,0.0,0.5,[-0.4  0.4]
24,24,14.0,cognition_task-completion,0.0,0.5,[-0.4  0.4]
25,25,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.0,0.5,[-0.4  0.4]
26,26,20.0,daily-routines_morning-routine,0.0,0.5,[-0.4  0.4]
27,27,38.0,other-special-issues_physically-harms-self,0.0,0.5,[-0.4  0.4]
28,28,42.0,other-special-issues_substance-use,0.0,0.5,[-0.4  0.4]
29,29,11.0,cognition_memory-recall,0.0,0.5,[-0.4  0.4]
30,30,9.0,cognition_abstract-thinking,-0.0,0.5,[-0.4  0.4]
31,31,23.0,emotion_attachment,-0.0,0.5,[-0.4  0.4]
32,32,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,-0.0,0.5,[-0.4  0.4]
33,33,55.0,somatic-and-sensory-functions_eating,-0.0,0.5,[-0.4  0.4]
34,34,17.0,communication_receptive-language,-0.0,0.5,[-0.4  0.4]
35,35,51.0,social-function_social-communication,0.0,0.705,[-0.49  0.3 ]
36,36,8.0,behavior_self-control,0.0,0.978,[-0.69 -0.01]
37,37,0.0,behavior_activity-level,,,[nan nan]
38,38,1.0,behavior_anger-management,,,[nan nan]
39,39,4.0,behavior_habits-routines,,,[nan nan]
40,40,5.0,behavior_obsessive-thoughts,,,[nan nan]
41,41,21.0,daily-routines_screen-time,,,[nan nan]
42,42,22.0,daily-routines_transitions,,,[nan nan]
43,43,26.0,emotion_irritability,,,[nan nan]
44,44,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,,,[nan nan]
45,45,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,,,[nan nan]
46,46,36.0,other-special-issues_bullying,,,[nan nan]
47,47,37.0,other-special-issues_perception-of-reality,,,[nan nan]
48,48,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
49,49,40.0,other-special-issues_self-care-hygiene,,,[nan nan]
50,50,41.0,other-special-issues_sleep,,,[nan nan]
51,51,43.0,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
52,52,44.0,other-special-issues_trauma-history,,,[nan nan]
53,53,45.0,personality_creativity,,,[nan nan]
54,54,47.0,personality_integrity-and-honesty,,,[nan nan]
55,55,49.0,personality_responsibility-for-self-and-others,,,[nan nan]
56,56,54.0,social-function_tolerance,,,[nan nan]
57,57,56.0,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
58,58,58.0,toileting,,,[nan nan]
59,mean,,,0.295081081081081,,
mean,,,,0.29508108108108105,,
