,Unnamed: 0,Item,ICC,PVal,CI95
0,41.0,other-special-issues_sleep,1.0,0.0,[1. 1.]
1,20.0,daily-routines_morning-routine,0.942,0.0,[0.88 0.97]
2,21.0,daily-routines_screen-time,0.881,0.0,[0.77 0.94]
3,35.0,learning-and-acquisition-of-knowledge-and-skills_writing,0.859,0.0,[0.72 0.93]
4,12.0,cognition_planning-and-organization,0.751,0.0,[0.54 0.87]
5,24.0,emotion_emotional-regulation-and-reactivity,0.748,0.0,[0.54 0.87]
6,53.0,social-function_social-engagement,0.741,0.0,[0.52 0.87]
7,48.0,personality_perseverance,0.727,0.0,[0.5  0.86]
8,16.0,communication_expressive-language,0.723,0.0,[0.49 0.86]
9,49.0,personality_responsibility-for-self-and-others,0.714,0.0,[0.48 0.85]
10,26.0,emotion_irritability,0.7,0.0,[0.46 0.84]
11,10.0,cognition_attention-concentration,0.675,0.0,[0.42 0.83]
12,29.0,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.668,0.0,[0.41 0.83]
13,51.0,social-function_social-communication,0.663,0.0,[0.4  0.82]
14,2.0,behavior_assertiveness,0.661,0.0,[0.4  0.82]
15,7.0,behavior_risk-taking,0.66,0.0,[0.4  0.82]
16,18.0,communication_speech-quality,0.654,0.0,[0.39 0.82]
17,33.0,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.654,0.0,[0.39 0.82]
18,4.0,behavior_habits-routines,0.647,0.0,[0.38 0.81]
19,19.0,communication_speech-quantity,0.619,0.0,[0.34 0.8 ]
20,47.0,personality_integrity-and-honesty,0.588,0.0,[0.3  0.78]
21,50.0,personality_self-confidence,0.564,0.0,[0.26 0.77]
22,15.0,cognition_thinking-speed,0.54,0.001,[0.23 0.75]
23,13.0,cognition_self-image,0.536,0.001,[0.22 0.75]
24,23.0,emotion_attachment,0.525,0.001,[0.21 0.74]
25,28.0,emotion_worries-anxiety,0.517,0.001,[0.2  0.74]
26,9.0,cognition_abstract-thinking,0.514,0.002,[0.19 0.74]
27,11.0,cognition_memory-recall,0.498,0.002,[0.17 0.73]
28,8.0,behavior_self-control,0.459,0.005,[0.12 0.7 ]
29,1.0,behavior_anger-management,0.449,0.006,[0.11 0.69]
30,25.0,emotion_empathy,0.394,0.014,[0.05 0.66]
31,52.0,social-function_social-cooperation,0.383,0.017,[0.03 0.65]
32,27.0,emotion_stress-management,0.372,0.02,[0.02 0.64]
33,0.0,behavior_activity-level,0.341,0.03,[-0.02  0.62]
34,32.0,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.297,0.053,[-0.07  0.59]
35,14.0,cognition_task-completion,0.296,0.053,[-0.07  0.59]
36,34.0,learning-and-acquisition-of-knowledge-and-skills_reading,0.282,0.062,[-0.08  0.58]
37,45.0,personality_creativity,0.228,0.109,[-0.14  0.54]
38,30.0,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.117,0.266,[-0.25  0.45]
39,46.0,personality_future-outlook,0.032,0.432,[-0.33  0.38]
40,5.0,behavior_obsessive-thoughts,0.01,0.478,[-0.35  0.36]
41,57.0,somatic-and-sensory-functions_sexual-identity-behavior,-0.0,0.5,[-0.36  0.36]
42,42.0,other-special-issues_substance-use,-0.0,0.5,[-0.36  0.36]
43,55.0,somatic-and-sensory-functions_eating,-0.0,0.5,[-0.36  0.36]
44,17.0,communication_receptive-language,0.0,0.518,[-0.36  0.35]
45,31.0,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.0,0.604,[-0.4   0.31]
46,3.0,behavior_compliance,0.0,0.664,[-0.42  0.28]
47,6.0,behavior_play,0.0,0.667,[-0.42  0.28]
48,22.0,daily-routines_transitions,,,[nan nan]
49,36.0,other-special-issues_bullying,,,[nan nan]
50,37.0,other-special-issues_perception-of-reality,,,[nan nan]
51,38.0,other-special-issues_physically-harms-self,,,[nan nan]
52,39.0,other-special-issues_physically-or-emotionally-harms-others,,,[nan nan]
53,40.0,other-special-issues_self-care-hygiene,,,[nan nan]
54,43.0,other-special-issues_tics-and-other-atypical-movements,,,[nan nan]
55,44.0,other-special-issues_trauma-history,,,[nan nan]
56,54.0,social-function_tolerance,,,[nan nan]
57,56.0,somatic-and-sensory-functions_sensory-reactivity,,,[nan nan]
58,58.0,toileting,,,[nan nan]
mean,,,0.47143749999999995,,
